--- Relaxation Summary for Main Iteration 1, GA Generation 2 ---
Analysis Date: 2025-10-03 00:40:11

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 43 (86.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           Pm              monoclinic         -2.796884                 1          2        25       D1:2.972, R21:0.000, Cell:(0.000, 0.000, -0.228, -3.303, 44.943, -0.828), SC:2x2x1, PhFactor:False
20           P1              triclinic          -2.796884                 1          2        8        D1:1.635, R21:0.127, Cell:(-0.070, -0.070, 0.492, -39.878, -39.676, 0.000), SC:2x2x1, PhFactor:False
10           Pm              monoclinic         -2.796884                 1          2        20       D1:2.104, R21:-0.037, Cell:(0.331, -0.099, -0.228, -3.303, 0.000, 0.000), SC:2x1x1, PhFactor:False
5            Pm              monoclinic         -2.796883                 1          2        31       D1:0.250, R21:-0.053, Cell:(0.070, -0.431, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
5            P1              triclinic          -2.796883                 1          2        48       D1:4.436, R21:-0.037, Cell:(0.331, -0.099, -0.228, -3.303, 44.943, -0.828), SC:1x1x1, PhFactor:True
10           Pc              monoclinic         -2.796882                 1          2        44       D1:2.074, R21:0.108, Cell:(0.331, -0.099, -0.228, 28.275, 7.277, 3.993), SC:1x1x2, PhFactor:True
5            Pm              monoclinic         -2.796870                 1          2        29       D1:4.000, R21:0.250, Cell:(0.230, -0.070, -0.070, 27.118, 0.000, 22.589), SC:1x1x1, PhFactor:False
20           P1              triclinic          -2.796867                 1          2        43       D1:4.000, R21:-0.250, Cell:(-0.005, 0.070, 0.070, 0.000, 0.000, -8.058), SC:2x2x1, PhFactor:False
40           Amm2            orthorhombic       -2.796867                 1          2        6        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:False
10           Pm              monoclinic         -2.796866                 1          2        11       D1:8.711, R21:0.127, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
20           Cm              monoclinic         -2.791492                 1          2        36       D1:7.207, R21:-0.939, Cell:(0.414, -0.469, 0.410, 0.000, -35.790, 0.000), SC:2x2x1, PhFactor:False
20           P1              triclinic          -2.782741                 1          2        15       D1:2.648, R21:1.290, Cell:(0.146, 0.005, 0.183, 1.913, 44.807, 34.588), SC:2x2x1, PhFactor:True
40           Cm              monoclinic         -2.781781                 1          2        47       D1:2.104, R21:-0.037, Cell:(0.331, -0.099, 0.077, 28.275, -40.098, 3.993), SC:2x2x2, PhFactor:False
