# Frequency(THz)  DOS_Intensity
-3.392699612366782969e+00 8.252694188998687883e-03
-3.250827887457139020e+00 6.129876324109577013e+01
-3.108956162547495961e+00 1.239902382371421083e+02
-2.967084437637852457e+00 1.709889283620679237e+02
-2.825212712728208952e+00 3.396908818093749574e+02
-2.683340987818565448e+00 4.298849236443898576e+02
-2.541469262908921944e+00 5.211000957402553695e+02
-2.399597537999278440e+00 8.524089402948289944e+02
-2.257725813089634936e+00 1.160503393714070171e+03
-2.115854088179991876e+00 1.150264459609243204e+03
-1.973982363270348150e+00 1.337615886516290402e+03
-1.832110638360704646e+00 1.607975891920085132e+03
-1.690238913451061364e+00 2.015713808405204418e+03
-1.548367188541417860e+00 2.192809469995995187e+03
-1.406495463631774134e+00 2.304483818136733589e+03
-1.264623738722131074e+00 2.348830235547308803e+03
-1.122752013812487348e+00 2.347464921582847637e+03
-9.808802889028438443e-01 2.285562422942009562e+03
-8.390085639932006734e-01 2.180318864699589994e+03
-6.971368390835570583e-01 1.995186189268924409e+03
-5.552651141739134433e-01 1.703062240471982250e+03
-4.133933892642702723e-01 1.338928926930645503e+03
-2.715216643546267128e-01 9.044476943729823688e+02
-1.296499394449830977e-01 4.444508057754293873e+02
1.222178546466007668e-02 7.458965266031485442e+01
1.540935103743036605e-01 5.375084206570262495e+02
2.959652352839472478e-01 1.065673744701714440e+03
4.378369601935904187e-01 1.673886201527606318e+03
5.797086851032344779e-01 2.369197861779734922e+03
7.215804100128776488e-01 3.322944680729146512e+03
8.634521349225208198e-01 4.242651158129024225e+03
1.005323859832164768e+00 5.206257439658071235e+03
1.147195584741808050e+00 6.321194437640773685e+03
1.289067309651451110e+00 7.492612557238885529e+03
1.430939034561095280e+00 8.569958938347210278e+03
1.572810759470738340e+00 9.724169906122078828e+03
1.714682484380381622e+00 1.014253628522902000e+04
1.856554209290025570e+00 1.070447117744384923e+04
1.998425934199668630e+00 1.072801274740239933e+04
2.140297659109311912e+00 1.166405020298726959e+04
2.282169384018955860e+00 1.127964646915581034e+04
2.424041108928598920e+00 1.075762162623147742e+04
2.565912833838242424e+00 1.031149595096551820e+04
2.707784558747886372e+00 1.080710646946033194e+04
2.849656283657529432e+00 1.017333637652278230e+04
2.991528008567172492e+00 1.087539281089564429e+04
3.133399733476816440e+00 1.082198099408288908e+04
3.275271458386459944e+00 1.110252411350650436e+04
3.417143183296103004e+00 1.101950627428363441e+04
3.559014908205746952e+00 1.057627033125787420e+04
3.700886633115390012e+00 1.047421597137508797e+04
3.842758358025033960e+00 1.052317565310906139e+04
3.984630082934677464e+00 9.904422444601779716e+03
4.126501807844320524e+00 9.599487739848083947e+03
4.268373532753964028e+00 9.988791049368148379e+03
4.410245257663606644e+00 9.955692146997220334e+03
4.552116982573251924e+00 9.510381627109916735e+03
4.693988707482894540e+00 9.617081803832670630e+03
4.835860432392538044e+00 9.831467547422895223e+03
4.977732157302181548e+00 8.398664552079841087e+03
5.119603882211824164e+00 8.130507203187076811e+03
5.261475607121467668e+00 8.775152886863485037e+03
5.403347332031112060e+00 8.843332937943048819e+03
5.545219056940755564e+00 1.000153559540971946e+04
5.687090781850399068e+00 9.099599287069093407e+03
5.828962506760041684e+00 8.839324961812744732e+03
5.970834231669685188e+00 7.913232986894069654e+03
6.112705956579329580e+00 7.717774615923262900e+03
6.254577681488973084e+00 7.553145249992538993e+03
6.396449406398616588e+00 6.461257152443313316e+03
6.538321131308259204e+00 6.219365275198701966e+03
6.680192856217902708e+00 6.430732274465155569e+03
6.822064581127546212e+00 6.704279340485672947e+03
6.963936306037190604e+00 6.753261739366379516e+03
7.105808030946834108e+00 6.703567008252971391e+03
7.247679755856476724e+00 5.660820751469857896e+03
7.389551480766120228e+00 6.521586253032289278e+03
7.531423205675763732e+00 7.567627100959654854e+03
7.673294930585406348e+00 7.349572828357693652e+03
7.815166655495051629e+00 6.942996339974441980e+03
7.957038380404694244e+00 4.354607977271232812e+03
8.098910105314338637e+00 6.896783511767097480e+03
8.240781830223980364e+00 6.881233203253254032e+03
8.382653555133623868e+00 5.951135906550121035e+03
8.524525280043267372e+00 5.437796746185999837e+03
8.666397004952912653e+00 6.446302998485574790e+03
8.808268729862556157e+00 6.344452581709323567e+03
8.950140454772197884e+00 6.204225491356415660e+03
9.092012179681841388e+00 5.772251342064720120e+03
9.233883904591484892e+00 6.233374834886992176e+03
9.375755629501128396e+00 4.554518943925825624e+03
9.517627354410773677e+00 6.244194788621268344e+03
9.659499079320415404e+00 6.283020425223219718e+03
9.801370804230058909e+00 5.346014230711311939e+03
9.943242529139702413e+00 4.004917761681839693e+03
1.008511425404934592e+01 5.378854785055023058e+03
1.022698597895898942e+01 4.663633741286647819e+03
1.036885770386863292e+01 6.899817824615475729e+03
1.051072942877827643e+01 5.750132108398514902e+03
1.065260115368791993e+01 5.068126808837228964e+03
1.079447287859756344e+01 5.928746866655538724e+03
1.093634460350720694e+01 4.418202948772156560e+03
1.107821632841685044e+01 6.066746077089261235e+03
1.122008805332649395e+01 5.710167453088207367e+03
1.136195977823613745e+01 5.011754125014062993e+03
1.150383150314578096e+01 6.153645545769791170e+03
1.164570322805542446e+01 5.831206718923075641e+03
1.178757495296506796e+01 6.762221897294250084e+03
1.192944667787470969e+01 4.963560209256496819e+03
1.207131840278435497e+01 4.301920812081592885e+03
1.221319012769399670e+01 6.365863571047804726e+03
1.235506185260364198e+01 6.985234806836552707e+03
1.249693357751328548e+01 6.130545655596599318e+03
1.263880530242292721e+01 6.182366122170697054e+03
1.278067702733257249e+01 5.639939203587808151e+03
1.292254875224221422e+01 5.270505266367545119e+03
1.306442047715185950e+01 6.389379042438168653e+03
1.320629220206150300e+01 5.881174317863280521e+03
1.334816392697114473e+01 5.410957480683730864e+03
1.349003565188079001e+01 4.943415798523829835e+03
1.363190737679043174e+01 3.825722649896314124e+03
1.377377910170007702e+01 4.517364961820780991e+03
1.391565082660971875e+01 4.248454749693322810e+03
1.405752255151936225e+01 5.102131063550633371e+03
1.419939427642900753e+01 5.092467733314660109e+03
1.434126600133864926e+01 3.608339762688221072e+03
1.448313772624829454e+01 5.219463035159426909e+03
1.462500945115793627e+01 5.602107871366089057e+03
1.476688117606757977e+01 5.607061762881840878e+03
1.490875290097722505e+01 5.978972533361622482e+03
1.505062462588686678e+01 6.001103732225236854e+03
1.519249635079651384e+01 6.353713115421780458e+03
1.533436807570615201e+01 6.233118340889491265e+03
1.547623980061579552e+01 5.143015790600249602e+03
1.561811152552544080e+01 4.937895558403314681e+03
1.575998325043508608e+01 4.769322866256758061e+03
1.590185497534473136e+01 5.441097851267179067e+03
1.604372670025436776e+01 5.006061178845265204e+03
1.618559842516401304e+01 5.687834746247659496e+03
1.632747015007365832e+01 5.102701225775259445e+03
1.646934187498330360e+01 5.745460812273990996e+03
1.661121359989294888e+01 4.830666749319163500e+03
1.675308532480258705e+01 4.293841145798705838e+03
1.689495704971223233e+01 4.643575163252696257e+03
