--- Relaxation Summary for Main Iteration 5, GA Generation 2 ---
Analysis Date: 2025-10-03 06:06:34

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 8
Replacement Rate: 16.00%
Selected Modes for Replacement:
  1. Y (freq: 0.3593, band: 0)
  2. T (freq: 0.3644, band: 0)
  3. T (freq: 3.1392, band: 59)
  4. X (freq: 0.6235, band: 0)
  5. X (freq: 3.0864, band: 59)
  ... and 3 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 48 (96.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           Pnma            orthorhombic       -2.840265                 5          2        36       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840265                 5          2        39       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.070, 10.161, 0.000, 0.000), SC:1x1x2, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        46       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.461, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        49       D1:1.000, R21:0.000, Cell:(0.271, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840265                 5          2        3        D1:4.000, R21:-0.250, Cell:(-0.092, 0.331, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        6        D1:4.000, R21:-0.250, Cell:(0.071, -0.070, 0.070, 0.000, 34.930, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        32       D1:0.250, R21:0.000, Cell:(-0.070, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
20           Pnma            orthorhombic       -2.840265                 5          2        25       D1:1.000, R21:-0.879, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, -23.641), SC:1x1x1, PhFactor:False
20           Cmcm            orthorhombic       -2.830998                 5          2        34       D1:0.250, R21:-0.607, Cell:(0.070, 0.070, -0.464, 0.000, -29.006, 0.000), SC:1x1x1, PhFactor:True
20           P2_1/m          monoclinic         -2.829350                 5          2        18       D1:2.665, R21:-0.250, Cell:(-0.070, -0.333, 0.375, 6.318, 0.000, 0.000), SC:1x1x1, PhFactor:True
160          Pnma            orthorhombic       -2.824313                 5          2        45       D1:2.961, R21:-0.615, Cell:(0.070, 0.070, 0.448, 0.000, 0.000, 38.695), SC:2x2x2, PhFactor:True
20           P2_1/c          orthorhombic       -2.821369                 5          2        47       D1:4.000, R21:0.000, Cell:(-0.241, -0.070, -0.070, 0.000, -44.992, 0.000), SC:1x1x1, PhFactor:True
20           C2/m            monoclinic         -2.807129                 5          2        14       D1:0.250, R21:-0.250, Cell:(0.070, 0.427, 0.030, -3.777, 43.985, 0.000), SC:1x1x1, PhFactor:True
20           P2_1/c          orthorhombic       -2.793845                 5          2        16       D1:0.250, R21:0.250, Cell:(0.367, -0.070, 0.070, 0.000, 0.000, 44.747), SC:1x1x1, PhFactor:True
160          Pm              monoclinic         -2.785304                 5          2        2        D1:6.544, R21:-0.250, Cell:(0.127, 0.070, 0.070, 39.960, 0.000, 0.000), SC:2x2x2, PhFactor:True
20           P2_1/m          monoclinic         -2.784048                 5          2        4        D1:4.642, R21:0.250, Cell:(0.070, -0.031, 0.072, 42.253, 0.000, 0.000), SC:1x1x1, PhFactor:False
20           P2_1/m          monoclinic         -2.784041                 5          2        17       D1:1.000, R21:0.250, Cell:(0.070, 0.070, -0.070, -36.323, -12.171, 9.537), SC:1x1x1, PhFactor:True
20           Pmn2_1          orthorhombic       -2.783213                 5          2        19       D1:4.000, R21:0.250, Cell:(0.070, 0.379, -0.070, 0.000, 0.000, 31.888), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.780521                 5          2        43       D1:1.000, R21:-0.250, Cell:(0.236, -0.466, 0.005, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
