--- Relaxation Summary for Main Iteration 5, GA Generation 1 ---
Analysis Date: 2025-10-03 05:52:24

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 10
Replacement Rate: 20.00%
Selected Modes for Replacement:
  1. Z (freq: 0.2485, band: 0)
  2. R (freq: 2.9898, band: 59)
  3. Y (freq: 0.3600, band: 0)
  4. S (freq: 0.5750, band: 0)
  5. Z (freq: 3.0912, band: 59)
  ... and 5 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 66 (66.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           P2_1/m          orthorhombic       -2.840265                 5          1        53       D1:0.373, R21:-1.383, Cell:(-0.069, 0.389, 0.193, -22.141, -43.668, -38.771), SC:1x1x1, PhFactor:True
80           Pnma            orthorhombic       -2.840265                 5          1        57       D1:6.494, R21:0.618, Cell:(-0.128, 0.038, 0.322, -2.079, 9.921, 0.363), SC:2x2x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        69       D1:7.283, R21:-1.200, Cell:(0.305, 0.362, 0.050, 23.731, 27.640, -8.616), SC:1x1x1, PhFactor:False
20           Cmcm            orthorhombic       -2.830998                 5          1        37       D1:7.352, R21:1.111, Cell:(0.291, 0.322, -0.023, -2.787, -35.520, 24.085), SC:1x1x1, PhFactor:True
160          Pm              monoclinic         -2.826454                 5          1        56       D1:6.341, R21:-1.352, Cell:(-0.241, 0.225, -0.049, -6.289, 15.721, -22.022), SC:2x2x2, PhFactor:True
80           Pnma            orthorhombic       -2.824313                 5          1        64       D1:9.144, R21:-0.279, Cell:(-0.211, 0.135, 0.352, 4.156, -2.357, -17.227), SC:2x1x2, PhFactor:False
20           P2_1/m          monoclinic         -2.816849                 5          1        87       D1:1.977, R21:-0.286, Cell:(0.099, 0.427, 0.468, 23.224, 42.502, -8.303), SC:1x1x1, PhFactor:False
40           P2_1/m          monoclinic         -2.816399                 5          1        88       D1:8.952, R21:0.928, Cell:(0.281, 0.233, 0.450, 28.021, 0.705, -19.665), SC:1x1x2, PhFactor:True
160          Pm              monoclinic         -2.812721                 5          1        65       D1:4.332, R21:1.048, Cell:(0.026, 0.385, -0.193, -20.971, 1.682, -8.652), SC:2x2x2, PhFactor:True
40           P-1             triclinic          -2.803694                 5          1        32       D1:3.752, R21:-0.190, Cell:(0.200, -0.243, 0.334, -38.283, 17.041, -19.577), SC:1x1x2, PhFactor:True
40           Pm              monoclinic         -2.803217                 5          1        83       D1:9.960, R21:-0.079, Cell:(-0.302, -0.015, 0.390, -17.384, 34.582, 23.390), SC:1x1x2, PhFactor:False
40           P1              triclinic          -2.802937                 5          1        49       D1:4.653, R21:1.048, Cell:(-0.324, 0.398, -0.018, 41.888, 22.045, -34.720), SC:1x1x2, PhFactor:False
160          Cm              monoclinic         -2.802496                 5          1        52       D1:5.572, R21:0.136, Cell:(0.091, 0.396, -0.083, 35.001, 16.562, -43.967), SC:2x2x2, PhFactor:False
40           P-1             triclinic          -2.800803                 5          1        91       D1:1.158, R21:-1.292, Cell:(0.344, -0.122, 0.178, -22.448, -7.386, 33.930), SC:1x1x2, PhFactor:False
80           C2              monoclinic         -2.799296                 5          1        75       D1:4.124, R21:1.114, Cell:(0.329, -0.465, 0.256, -14.241, 6.055, -5.273), SC:2x2x1, PhFactor:False
160          Cm              monoclinic         -2.798874                 5          1        80       D1:8.430, R21:1.343, Cell:(-0.279, 0.164, 0.129, 6.493, 44.714, -30.285), SC:2x2x2, PhFactor:False
