Run_ID,Composition,Energy (eV/atom),Initial_SG,Relaxed_SG,Verdict,Confidence,RMSD_Status,RMSD_Mean(Å),Vol_Status,Vol_Max_Change(%),RDF_Status,RDF_Corr,Sym_Status,MD_Found_SGs
top_1_iter3_sample26,HfO2,-10.1659,P2_1/c (14),P2_1/c (14),STABLE,MODERATE,FAIL,1.163,PASS,2.36,PASS,0.642,PASS,P-1 (2)
top_2_iter1_sample43,HfO2,-10.1601,I4_1/amd (141),I4_1/amd (141),UNSTABLE,HIGH,FAIL,5.877,FAIL,9.1,FAIL,0.414,FAIL,P-1 (2)
top_3_iter3_sample36,HfO2,-10.1559,Pbcn (60),Pbcn (60),UNSTABLE,HIGH,FAIL,1.051,FAIL,17.56,PASS,0.606,FAIL,
top_4_iter3_sample76,HfO2,-10.1485,P4_2/mnm (136),P4_2/mnm (136),STABLE,HIGH,PASS,0.151,PASS,4.94,PASS,0.768,PASS,P1 (1)
top_5_iter3_sample6,HfO2,-10.1458,Pca2_1 (29),Pca2_1 (29),UNSTABLE,HIGH,PASS,0.427,FAIL,11.7,FAIL,N/A,FAIL,Pbcn (60)
unique_1_iter2_sample63,HfO2,-10.1438,P2_1/c (14),P2_1/c (14),STABLE,MODERATE,FAIL,1.216,PASS,3.95,PASS,0.511,PASS,P-1 (2)
unique_2_iter1_sample37,HfO2,-10.1391,Pnma (62),Pnma (62),STABLE,MODERATE,PASS,0.101,FAIL,9.9,PASS,0.772,PASS,Pnma (62)
unique_3_iter1_sample28,HfO2,-10.1359,P2_1/m (11),P2_1/m (11),UNSTABLE,LOW,FAIL,1.756,FAIL,9.0,PASS,0.518,PASS,
unique_4_iter5_sample97,HfO2,-10.1329,Fdd2 (43),Fdd2 (43),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unique_5_iter1_sample23,HfO2,-10.1296,P4_2/nmc (137),P4_2/nmc (137),UNSTABLE,LOW,PASS,0.53,FAIL,8.4,PASS,0.564,FAIL,P1 (1)
unique_6_iter4_sample68,HfO2,-10.1288,Pmn2_1 (31),Pmn2_1 (31),UNSTABLE,HIGH,PASS,0.519,FAIL,9.22,FAIL,0.387,FAIL,P-1 (2)
HfO2_Fm3m_m10p117371,HfO2,-10.117371,Fm-3m (225),Fm-3m (225),UNSTABLE,LOW,PASS,0.453,PASS,3.12,FAIL,0.189,FAIL,P1 (1)
