# Frequency(THz)  DOS_Intensity
-3.145495048562632956e+00 8.263925673186112847e-03
-3.006319498048178218e+00 3.864826393550000461e+01
-2.867143947533723036e+00 1.416301384863213570e+02
-2.727968397019268298e+00 3.372582546736401241e+02
-2.588792846504813117e+00 5.779596265049563044e+02
-2.449617295990357935e+00 8.105261099217066203e+02
-2.310441745475903197e+00 1.146788032608406183e+03
-2.171266194961448015e+00 1.375816307935363284e+03
-2.032090644446993277e+00 1.473801632201110124e+03
-1.892915093932538095e+00 1.651408653766649195e+03
-1.753739543418083358e+00 1.857952911435285387e+03
-1.614563992903628398e+00 1.997890856210932270e+03
-1.475388442389173660e+00 2.105193490981711875e+03
-1.336212891874718700e+00 2.214484219220101295e+03
-1.197037341360263740e+00 2.318497213741199630e+03
-1.057861790845808780e+00 2.316293172580690225e+03
-9.186862403313537095e-01 2.238366859323982681e+03
-7.795106898168987497e-01 2.059229919370528933e+03
-6.403351393024436788e-01 1.793376941554678524e+03
-5.011595887879887190e-01 1.502420632805479272e+03
-3.619840382735337592e-01 1.140235109430724606e+03
-2.228084877590787716e-01 7.285144740290244272e+02
-8.363293724462378398e-02 2.725154847411537844e+02
5.554261326983121055e-02 1.860389610396272815e+02
1.947181637842857749e-01 6.623718031127318682e+02
3.338937142987407625e-01 1.152351893229066718e+03
4.730692648131957223e-01 1.720698075557879065e+03
6.122448153276507377e-01 2.345808540608357816e+03
7.514203658421056975e-01 3.093363233951742586e+03
8.905959163565606573e-01 3.851903510764771909e+03
1.029771466871015617e+00 4.825686778088434039e+03
1.168947017385470577e+00 5.981874733937845122e+03
1.308122567899925759e+00 6.964902238953130109e+03
1.447298118414380719e+00 7.906330959249959051e+03
1.586473668928835679e+00 8.992659365264984444e+03
1.725649219443290638e+00 9.218165469208568538e+03
1.864824769957745598e+00 9.920079957723601183e+03
2.004000320472200780e+00 1.028153847246820806e+04
2.143175870986655518e+00 1.043189819514526425e+04
2.282351421501110700e+00 1.029088358282234367e+04
2.421526972015565438e+00 1.044639344627795435e+04
2.560702522530020619e+00 1.030402739880046283e+04
2.699878073044475357e+00 1.026573880112255392e+04
2.839053623558930539e+00 1.054853965983470698e+04
2.978229174073385277e+00 1.039598468919027073e+04
3.117404724587840459e+00 1.039588293034756316e+04
3.256580275102295641e+00 9.950970894353495169e+03
3.395755825616750379e+00 1.012855534961812918e+04
3.534931376131204672e+00 9.767022273720538578e+03
3.674106926645659410e+00 9.353754233267531163e+03
3.813282477160114592e+00 9.166910293393648317e+03
3.952458027674569774e+00 9.330203858077471523e+03
4.091633578189024512e+00 9.411077233774638444e+03
4.230809128703479693e+00 9.485306441407356033e+03
4.369984679217934875e+00 9.459884547664116326e+03
4.509160229732389169e+00 9.118047613445603929e+03
4.648335780246844351e+00 9.837474746133024382e+03
4.787511330761299533e+00 9.456664860083890744e+03
4.926686881275754715e+00 9.255373973541443775e+03
5.065862431790209008e+00 8.846172516516882752e+03
5.205037982304664190e+00 9.021416023604511793e+03
5.344213532819119372e+00 8.677993021231084640e+03
5.483389083333574554e+00 8.720601290185069956e+03
5.622564633848029736e+00 8.521142728006794641e+03
5.761740184362484030e+00 8.699004158664725765e+03
5.900915734876939212e+00 7.998145069610137398e+03
6.040091285391394393e+00 8.185958892597981503e+03
6.179266835905849575e+00 8.089524561940806052e+03
6.318442386420304757e+00 8.618190939525899012e+03
6.457617936934759051e+00 7.955706672069013621e+03
6.596793487449214233e+00 7.389927355378546963e+03
6.735969037963669415e+00 6.993207657504392046e+03
6.875144588478124597e+00 6.084252532260670705e+03
7.014320138992578890e+00 6.035398936254737237e+03
7.153495689507034072e+00 6.259043388415812842e+03
7.292671240021489254e+00 6.045738787001805576e+03
7.431846790535944436e+00 7.061204819947950455e+03
7.571022341050399618e+00 6.942189041988523059e+03
7.710197891564853911e+00 5.612250606940990110e+03
7.849373442079309093e+00 7.249346796006737350e+03
7.988548992593764275e+00 7.009220949535532782e+03
8.127724543108218569e+00 4.006046472589132463e+03
8.266900093622673751e+00 6.439115549415017995e+03
8.406075644137128933e+00 5.565927649860251222e+03
8.545251194651584115e+00 6.078391036595670812e+03
8.684426745166039296e+00 6.669837700525074979e+03
8.823602295680494478e+00 5.742333837421723729e+03
8.962777846194949660e+00 6.421120337170638777e+03
9.101953396709404842e+00 5.491094407443430100e+03
9.241128947223858248e+00 5.866714930775879111e+03
9.380304497738313430e+00 5.561455824908973227e+03
9.519480048252768611e+00 4.717260002929496295e+03
9.658655598767223793e+00 4.699692420886090986e+03
