# Frequency(THz)  DOS_Intensity
-2.897950478398395369e+00 1.260347350116349657e-02
-2.749432506835057577e+00 8.850172021220055285e+01
-2.600914535271720229e+00 3.093800276062919465e+02
-2.452396563708382882e+00 5.282482114632439334e+02
-2.303878592145045090e+00 8.650284633580713489e+02
-2.155360620581707298e+00 1.202493643888316228e+03
-2.006842649018369951e+00 1.537137212282402970e+03
-1.858324677455032603e+00 1.796046476778258466e+03
-1.709806705891695033e+00 2.004385506628517760e+03
-1.561288734328357686e+00 2.232550218420744386e+03
-1.412770762765020116e+00 2.360996970222885921e+03
-1.264252791201682546e+00 2.471422377487346694e+03
-1.115734819638344977e+00 2.498280961000244588e+03
-9.672168480750077402e-01 2.371434675766323380e+03
-8.186988765116699485e-01 2.209798182714877839e+03
-6.701809049483322678e-01 1.972581459802333939e+03
-5.216629333849949202e-01 1.633815674706196205e+03
-3.731449618216576281e-01 1.240895730393602207e+03
-2.246269902583198919e-01 7.617380093389281228e+02
-7.610901869498215566e-02 2.705074023541517363e+02
7.240895286835515032e-02 2.536329369601265284e+02
2.209269244316924563e-01 8.069811348735732963e+02
3.694448959950302203e-01 1.383974824633005483e+03
5.179628675583679565e-01 2.098648328757065428e+03
6.664808391217051931e-01 2.874645517149653188e+03
8.149988106850425407e-01 3.705753731098537173e+03
9.635167822483798883e-01 4.792662578804928671e+03
1.112034753811718124e+00 5.734742585986685299e+03
1.260552725375055250e+00 6.876414737190564665e+03
1.409070696938392597e+00 7.763634879953448944e+03
1.557588668501730833e+00 8.708263792713380099e+03
1.706106640065068181e+00 9.551620096421651397e+03
1.854624611628405306e+00 9.846654985519739057e+03
2.003142583191742876e+00 9.887050044108815200e+03
2.151660554755080224e+00 1.061682981095555624e+04
2.300178526318418015e+00 1.141934861700973852e+04
2.448696497881755363e+00 1.175292168461779511e+04
2.597214469445092710e+00 1.188183821930266458e+04
2.745732441008430946e+00 1.127568255351576772e+04
2.894250412571768294e+00 1.100588134623362930e+04
3.042768384135105642e+00 9.777232422190412763e+03
3.191286355698442989e+00 1.029791486377146430e+04
3.339804327261780337e+00 1.020949075461220855e+04
3.488322298825118573e+00 1.055061417372061624e+04
3.636840270388455476e+00 9.693748465544080318e+03
3.785358241951793268e+00 9.989675978070992642e+03
3.933876213515131504e+00 9.956192179869714892e+03
4.082394185078467963e+00 1.024301025527608726e+04
4.230912156641806199e+00 1.048287575944566743e+04
4.379430128205142658e+00 1.045241683358259434e+04
4.527948099768480894e+00 1.026605476146512046e+04
4.676466071331819130e+00 1.002267566016212368e+04
4.824984042895155589e+00 1.063056714414318412e+04
4.973502014458493825e+00 1.039045308898570329e+04
5.122019986021832061e+00 9.687283202680286195e+03
5.270537957585168520e+00 1.022840814967102779e+04
5.419055929148506756e+00 9.123847873523653107e+03
5.567573900711844104e+00 8.569671412804818829e+03
5.716091872275180563e+00 9.179635568066360065e+03
5.864609843838518799e+00 9.699953364488730585e+03
6.013127815401857035e+00 8.407484715068821970e+03
6.161645786965193494e+00 8.221153981872261284e+03
6.310163758528531730e+00 7.873180855600985524e+03
6.458681730091868189e+00 7.646744719392708248e+03
6.607199701655206425e+00 8.069709998381797959e+03
6.755717673218544661e+00 8.213331687422805771e+03
6.904235644781881120e+00 7.088801204090299507e+03
7.052753616345219356e+00 6.614231826929174531e+03
7.201271587908555816e+00 7.074515506979488237e+03
7.349789559471894052e+00 6.672073593016896666e+03
7.498307531035232287e+00 7.506110483674717216e+03
7.646825502598568747e+00 5.034301390826208262e+03
7.795343474161906983e+00 6.273121205957450002e+03
7.943861445725245218e+00 4.546540672430197446e+03
8.092379417288581678e+00 4.743774011288402107e+03
8.240897388851919914e+00 5.968996861269583860e+03
8.389415360415258149e+00 4.700385245404165289e+03
8.537933331978594609e+00 4.245985276210769371e+03
8.686451303541932845e+00 5.009749799814260768e+03
8.834969275105269304e+00 3.492927652332301477e+03
8.983487246668607540e+00 4.001866035845673196e+03
9.132005218231945776e+00 5.729881271087650930e+03
9.280523189795282235e+00 6.357390892896713012e+03
9.429041161358620471e+00 4.729214334419336410e+03
9.577559132921956930e+00 4.103743320146138103e+03
9.726077104485293390e+00 4.679081611669913400e+03
9.874595076048631626e+00 5.094819506748715867e+03
1.002311304761196808e+01 5.275874704852072682e+03
1.017163101917530632e+01 4.415291049339458368e+03
1.032014899073864456e+01 5.151825584991904179e+03
1.046866696230198102e+01 4.695391578484127422e+03
1.061718493386531925e+01 4.448691839261665336e+03
1.076570290542865749e+01 4.874672662384533396e+03
1.091422087699199395e+01 5.275142246621695449e+03
1.106273884855533218e+01 4.853081017329437600e+03
1.121125682011866864e+01 5.579851188498308147e+03
1.135977479168200688e+01 5.644964821955684783e+03
1.150829276324534511e+01 6.022264204733053703e+03
1.165681073480868157e+01 6.529667745497238684e+03
1.180532870637201981e+01 5.972245077625158956e+03
1.195384667793535627e+01 6.220626863951135419e+03
1.210236464949869450e+01 5.094009908965140312e+03
1.225088262106203274e+01 6.796698987592158119e+03
1.239940059262537098e+01 5.501503421399804211e+03
1.254791856418870566e+01 4.928241861824613807e+03
1.269643653575204389e+01 5.681232891890083920e+03
1.284495450731538213e+01 4.892191001237391902e+03
1.299347247887872037e+01 6.832250941131604122e+03
1.314199045044205860e+01 5.092706283873415487e+03
1.329050842200539684e+01 6.192506939321702703e+03
1.343902639356873152e+01 4.757437046102149907e+03
1.358754436513206976e+01 4.940484384114602108e+03
1.373606233669540799e+01 5.067365334994941804e+03
1.388458030825874623e+01 4.959067717600869400e+03
1.403309827982208446e+01 3.572634438212672194e+03
1.418161625138541915e+01 4.514829785760971390e+03
1.433013422294875738e+01 5.691929325767868249e+03
1.447865219451209562e+01 5.403213978066754862e+03
1.462717016607543385e+01 4.790240008675817990e+03
1.477568813763877209e+01 4.960768800223905600e+03
1.492420610920210855e+01 4.897743570478422953e+03
1.507272408076544501e+01 5.216946716588257004e+03
1.522124205232878147e+01 4.325992851154126583e+03
1.536976002389211970e+01 4.002114374679282719e+03
1.551827799545545616e+01 3.882326867238354225e+03
1.566679596701879440e+01 4.849143115807628419e+03
1.581531393858212908e+01 4.563115827691261984e+03
1.596383191014546732e+01 6.012653883479542856e+03
1.611234988170880555e+01 4.982862107307947554e+03
1.626086785327214557e+01 5.150052606364131861e+03
1.640938582483548203e+01 5.077585875169339488e+03
1.655790379639881849e+01 4.575470944613191932e+03
1.670642176796215495e+01 4.458160138713566084e+03
1.685493973952549496e+01 2.705860835933578073e+03
1.700345771108883142e+01 3.492078995680793923e+03
1.715197568265217143e+01 5.346295234922642521e+03
1.730049365421550434e+01 2.841629658165951241e+03
1.744901162577884435e+01 2.867848123374339593e+03
1.759752959734218081e+01 4.099584154972075339e+03
1.774604756890552082e+01 5.423767552932469698e+03
1.789456554046885728e+01 4.754161618810288019e+03
1.804308351203219374e+01 3.668557723627297491e+03
1.819160148359553020e+01 7.410284804935484317e+03
1.834011945515886666e+01 2.463959213179864491e+03
1.848863742672220667e+01 7.086560056233509385e+03
1.863715539828554313e+01 1.664283708056562546e+03
1.878567336984888314e+01 3.912830445246076579e+03
1.893419134141221605e+01 4.127578619699515002e+03
1.908270931297555606e+01 2.863615095685773667e+03
1.923122728453889252e+01 1.256759440997115576e+02
1.937974525610223253e+01 4.159596056421282810e+03
1.952826322766556899e+01 3.400890320175991747e+03
1.967678119922890900e+01 1.530739600392058264e+03
1.982529917079224191e+01 2.650555010950633914e+03
1.997381714235558192e+01 1.310892210113801184e+03
2.012233511391891838e+01 3.045100116731704475e+03
2.027085308548225839e+01 2.253828470240617662e+03
2.041937105704559485e+01 2.491433258698271718e-04
2.056788902860893131e+01 8.104974711230983540e-27
2.071640700017226777e+01 8.531900544942102497e-16
2.086492497173560778e+01 2.484184241325671749e+01
2.101344294329894424e+01 6.032499697972944119e+01
2.116196091486228426e+01 4.842533675904279562e+02
2.131047888642561716e+01 1.672393523416195020e-11
2.145899685798895717e+01 3.971731025569576564e-41
2.160751482955229363e+01 5.211359590398695675e-87
2.175603280111563365e+01 3.322562701312633607e-149
2.190455077267897011e+01 9.695155536539291552e-228
2.205306874424230656e+01 0.000000000000000000e+00
2.220158671580564302e+01 0.000000000000000000e+00
2.235010468736898304e+01 0.000000000000000000e+00
2.249862265893231950e+01 0.000000000000000000e+00
2.264714063049565951e+01 0.000000000000000000e+00
2.279565860205899597e+01 0.000000000000000000e+00
2.294417657362233243e+01 1.870746051226657798e-282
2.309269454518566889e+01 4.203005487039545433e-194
2.324121251674900890e+01 3.989471412748991470e-122
2.338973048831234536e+01 1.621905961951245568e-66
2.353824845987568182e+01 2.912705473410902790e-27
2.368676643143901828e+01 2.565371825891038710e-04
2.383528440300235474e+01 3.468479728199807596e+03
2.398380237456569475e+01 6.545801149974517577e-04
2.413232034612903121e+01 2.400300502776678531e-26
2.428083831769237122e+01 9.625585753917042295e-48
2.442935628925570768e+01 2.160539005724875589e-15
2.457787426081904414e+01 2.994491817067576633e+01
2.472639223238238060e+01 4.037432592859704982e+03
2.487491020394572061e+01 1.650799927219944414e-05
2.502342817550905707e+01 3.015848556058634294e-30
2.517194614707239708e+01 2.424257429943768177e-71
2.532046411863572999e+01 8.550212999362235986e-129
2.546898209019907000e+01 1.316139393820745249e-202
2.561750006176240646e+01 8.782729759367395134e-293
2.576601803332574647e+01 1.535580964106490144e-244
2.591453600488908293e+01 9.931079270064197598e-163
2.606305397645241939e+01 2.737240440258897600e-97
2.621157194801575585e+01 3.236156930834951702e-48
2.636008991957909586e+01 1.651736565801833449e-15
2.650860789114243232e+01 3.658954356851632639e+01
2.665712586270576878e+01 3.528485094272131306e+01
