--- Relaxation Summary for Main Iteration 4, GA Generation 1 ---
Analysis Date: 2025-10-03 04:14:32

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 12
Replacement Rate: 24.00%
Selected Modes for Replacement:
  1. T (freq: -0.7977, band: 0)
  2. Y (freq: -0.3423, band: 2)
  3. T (freq: -0.7977, band: 0)
  4. Y (freq: -1.0755, band: 0)
  5. Y (freq: -0.6214, band: 1)
  ... and 7 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 63 (63.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           Pnma            orthorhombic       -2.840265                 4          1        5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 4          1        39       D1:0.592, R21:0.410, Cell:(0.234, 0.399, -0.207, 7.427, 6.753, 6.463), SC:1x1x1, PhFactor:False
40           Pnma            orthorhombic       -2.840265                 4          1        52       D1:6.985, R21:-1.422, Cell:(-0.325, 0.254, -0.044, 21.286, -14.427, 4.123), SC:2x1x1, PhFactor:True
20           P2_1/m          orthorhombic       -2.840265                 4          1        96       D1:2.076, R21:1.340, Cell:(-0.046, 0.487, -0.016, -16.768, 25.826, 17.500), SC:1x1x1, PhFactor:True
80           C2/m            monoclinic         -2.822524                 4          1        42       D1:0.861, R21:1.457, Cell:(-0.453, 0.103, -0.076, -9.042, -14.597, 4.837), SC:2x1x2, PhFactor:True
160          C2/m            monoclinic         -2.818312                 4          1        47       D1:9.676, R21:0.096, Cell:(-0.177, 0.018, -0.055, 10.955, -16.592, 11.928), SC:2x2x2, PhFactor:False
20           Cm              monoclinic         -2.817534                 4          1        32       D1:7.692, R21:-1.155, Cell:(-0.179, 0.239, 0.193, 8.150, 36.919, -28.594), SC:1x1x1, PhFactor:False
40           C2/m            monoclinic         -2.815232                 4          1        60       D1:1.583, R21:-0.064, Cell:(-0.009, -0.156, 0.497, 4.223, -4.123, -29.449), SC:1x1x2, PhFactor:False
40           Pc              monoclinic         -2.814874                 4          1        54       D1:8.109, R21:-0.537, Cell:(0.107, -0.174, 0.418, 16.155, -28.586, 4.517), SC:1x1x2, PhFactor:True
20           P2_1/m          monoclinic         -2.813546                 4          1        98       D1:6.550, R21:-0.112, Cell:(-0.261, 0.355, 0.244, -10.804, 41.627, 8.939), SC:1x1x1, PhFactor:True
20           P2_1/m          monoclinic         -2.813546                 4          1        30       D1:3.129, R21:-0.564, Cell:(-0.175, 0.448, 0.061, -39.514, -41.463, -33.057), SC:1x1x1, PhFactor:False
40           Pm              monoclinic         -2.813419                 4          1        78       D1:6.450, R21:0.229, Cell:(0.336, 0.098, 0.242, -29.107, -21.224, -22.304), SC:2x1x1, PhFactor:False
