--- Relaxation Summary for Main Iteration 1, GA Generation 3 ---
Analysis Date: 2025-10-03 00:55:20

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 45 (90.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
40           Pm              monoclinic         -2.796884                 1          3        37       D1:4.843, R21:0.161, Cell:(0.178, 0.005, 0.183, 1.913, -34.367, -17.413), SC:2x2x2, PhFactor:False
40           P1              triclinic          -2.796883                 1          3        25       D1:4.436, R21:1.290, Cell:(0.337, 0.005, 0.183, 0.000, 29.812, 0.000), SC:2x2x2, PhFactor:False
40           P1              triclinic          -2.796883                 1          3        47       D1:3.309, R21:1.290, Cell:(0.337, 0.005, 0.183, 19.363, 22.162, -17.413), SC:2x2x2, PhFactor:False
10           P1              triclinic          -2.796882                 1          3        2        D1:4.436, R21:-0.590, Cell:(-0.065, 0.005, 0.183, 19.363, 22.162, -17.413), SC:2x1x1, PhFactor:True
40           P1              triclinic          -2.796872                 1          3        20       D1:6.510, R21:1.136, Cell:(0.337, 0.005, 0.183, 0.000, 22.162, -17.413), SC:2x2x2, PhFactor:False
10           Pm-3m           cubic              -2.796148                 1          3        31       D1:0.048, R21:1.290, Cell:(0.253, 0.005, 0.183, 0.000, 0.000, 1.857), SC:1x1x2, PhFactor:True
20           Pmc2_1          orthorhombic       -2.795059                 1          3        39       D1:1.254, R21:-1.458, Cell:(0.337, 0.005, 0.013, 19.363, 22.162, -43.468), SC:2x2x1, PhFactor:False
40           Pm              monoclinic         -2.791579                 1          3        34       D1:7.207, R21:-0.939, Cell:(-0.070, 0.410, -0.267, 0.000, 41.249, 0.000), SC:2x2x2, PhFactor:False
40           P1              triclinic          -2.791517                 1          3        41       D1:1.254, R21:1.290, Cell:(0.337, 0.005, -0.015, -24.606, 42.438, 13.214), SC:2x2x2, PhFactor:True
40           Cm              monoclinic         -2.791492                 1          3        29       D1:3.143, R21:-0.350, Cell:(0.337, 0.236, 0.077, 28.275, 26.298, 1.857), SC:2x2x2, PhFactor:False
40           P1              triclinic          -2.783299                 1          3        11       D1:4.436, R21:1.290, Cell:(0.340, 0.131, -0.104, -36.748, 29.364, -2.697), SC:2x2x2, PhFactor:True
40           P1              triclinic          -2.775559                 1          3        40       D1:3.309, R21:-0.203, Cell:(0.340, -0.217, -0.104, -36.748, 29.364, 13.214), SC:2x2x2, PhFactor:True
20           Cm              monoclinic         -2.775162                 1          3        24       D1:4.436, R21:1.290, Cell:(0.337, -0.353, 0.183, 22.376, 22.162, -17.413), SC:2x1x2, PhFactor:True
