# Frequency(THz)  DOS_Intensity
-2.638485449073159739e+00 8.724296199365714349e-03
-2.497779971374793906e+00 1.963989737107290878e+01
-2.357074493676428073e+00 2.272475890255190620e+02
-2.216369015978061352e+00 4.832730602514256475e+02
-2.075663538279695519e+00 6.471938073220371734e+02
-1.934958060581329464e+00 8.208546630669411570e+02
-1.794252582882963409e+00 9.575246734489771825e+02
-1.653547105184597132e+00 1.011981435505964896e+03
-1.512841627486231078e+00 1.044082184619497411e+03
-1.372136149787865023e+00 1.134790946258890699e+03
-1.231430672089498968e+00 1.310782967020337765e+03
-1.090725194391132691e+00 1.375041916315766002e+03
-9.500197166927667469e-01 1.304518049505039016e+03
-8.093142389944008031e-01 1.234190969622781267e+03
-6.686087612960343041e-01 1.083949333847349408e+03
-5.279032835976683602e-01 9.172285638289881717e+02
-3.871978058993023608e-01 6.804963994855971805e+02
-2.464923282009363892e-01 4.558445009099935419e+02
-1.057868505025704037e-01 2.025313640271252211e+02
3.491862719579599816e-02 6.971792201590635329e+01
1.756241048941619975e-01 3.302622402463535991e+02
3.163295825925279692e-01 6.079111396405394316e+02
4.570350602908943571e-01 8.961507884700358773e+02
5.977405379892604120e-01 1.220708986661170911e+03
7.384460156876263559e-01 1.610538227375178394e+03
8.791514933859922998e-01 1.998423871551835873e+03
1.019856971084358355e+00 2.447639846037806365e+03
1.160562448782724410e+00 2.916101023933376837e+03
1.301267926481091131e+00 3.428450343333786350e+03
1.441973404179457185e+00 3.833487950954334337e+03
1.582678881877823018e+00 4.055643783280373555e+03
1.723384359576189073e+00 4.423282523872079764e+03
1.864089837274555128e+00 4.993430343862920381e+03
2.004795314972921183e+00 5.451670806972096216e+03
2.145500792671287016e+00 5.272756885475877425e+03
2.286206270369652849e+00 5.427195471022448146e+03
2.426911748068019126e+00 5.018776929119592751e+03
2.567617225766385847e+00 5.245420722711202870e+03
2.708322703464751680e+00 5.440549235205759032e+03
2.849028181163117956e+00 5.247561406188529872e+03
2.989733658861483789e+00 5.138308215275331349e+03
3.130439136559849622e+00 5.261168366634919039e+03
3.271144614258215899e+00 5.488055622258201765e+03
3.411850091956581732e+00 5.197243054734017278e+03
3.552555569654948453e+00 5.159301816690155647e+03
3.693261047353314730e+00 4.837398427116357198e+03
3.833966525051680563e+00 5.059483824663107043e+03
3.974672002750046396e+00 4.660596532108436804e+03
4.115377480448412228e+00 4.497809525614466111e+03
4.256082958146778950e+00 4.775092772150796009e+03
4.396788435845144782e+00 4.894721584239355252e+03
4.537493913543510615e+00 5.265820330518121409e+03
4.678199391241876448e+00 4.504718669050774224e+03
4.818904868940243169e+00 4.482722831826558831e+03
4.959610346638608114e+00 4.057240842550845628e+03
5.100315824336974835e+00 4.096038545723601601e+03
5.241021302035342444e+00 4.483907800699425025e+03
5.381726779733708277e+00 4.334692621819376654e+03
5.522432257432074110e+00 4.676211869181321163e+03
5.663137735130439943e+00 4.385704872086081195e+03
5.803843212828805775e+00 4.193372319223777595e+03
5.944548690527172496e+00 3.898594796228494943e+03
6.085254168225538329e+00 4.320129553887506518e+03
6.225959645923904162e+00 4.278407169560829971e+03
6.366665123622269995e+00 4.283822764135634316e+03
6.507370601320635828e+00 4.186924607467431088e+03
6.648076079019001661e+00 3.811607778204891019e+03
6.788781556717368382e+00 3.935368288050403862e+03
6.929487034415734215e+00 3.790393045774259008e+03
7.070192512114100047e+00 4.047393903381421296e+03
7.210897989812465880e+00 3.109015335317659265e+03
7.351603467510831713e+00 2.923991347786788992e+03
7.492308945209197546e+00 2.446894107086113308e+03
7.633014422907566043e+00 2.868969620318527177e+03
7.773719900605930988e+00 2.390642043606414518e+03
7.914425378304298597e+00 3.311875323927887621e+03
8.055130856002662654e+00 3.042996237175348142e+03
8.195836333701031151e+00 4.010629773737226060e+03
8.336541811399394319e+00 3.460542465359060316e+03
8.477247289097762817e+00 3.822374534778395628e+03
8.617952766796125985e+00 3.093944550697603063e+03
8.758658244494494483e+00 2.815211514090201945e+03
8.899363722192859427e+00 2.415332478584949058e+03
9.040069199891226148e+00 2.942307152370034601e+03
9.180774677589591093e+00 3.789036330546297904e+03
9.321480155287957814e+00 3.552768866638830787e+03
9.462185632986322759e+00 2.918120052636150831e+03
9.602891110684689480e+00 2.699859165087224028e+03
9.743596588383057977e+00 2.742711322392446164e+03
9.884302066081422922e+00 3.033229532280450712e+03
1.002500754377978964e+01 2.940282621355751417e+03
1.016571302147815459e+01 2.398707197686012478e+03
1.030641849917652131e+01 2.157054809363357435e+03
1.044712397687488625e+01 1.536848971937109127e+03
1.058782945457325297e+01 1.945684231885376676e+03
1.072853493227161792e+01 2.646369734548482029e+03
1.086924040996998642e+01 1.968603528673136452e+03
1.100994588766834958e+01 2.603380535765084460e+03
1.115065136536671808e+01 3.410256259932705234e+03
1.129135684306508125e+01 2.687051054064923846e+03
1.143206232076344975e+01 2.230146525603183818e+03
1.157276779846181469e+01 2.815318244170612616e+03
1.171347327616018141e+01 2.977455470428581521e+03
1.185417875385854636e+01 2.307023989297942990e+03
1.199488423155691308e+01 1.494262473258704858e+03
1.213558970925528158e+01 1.808950770227575504e+03
1.227629518695364652e+01 3.314215795981530391e+03
1.241700066465201324e+01 3.573236400183468504e+03
1.255770614235037819e+01 3.019518399965526896e+03
1.269841162004874491e+01 2.526800293278441586e+03
1.283911709774710985e+01 2.330604845353685050e+03
1.297982257544547657e+01 3.225763076897975679e+03
1.312052805314384507e+01 2.858815195619283713e+03
1.326123353084221002e+01 2.933958641806441847e+03
1.340193900854057674e+01 2.916400252412525333e+03
1.354264448623894168e+01 3.027761416412477502e+03
1.368334996393730840e+01 3.218845583988435010e+03
1.382405544163567335e+01 3.608403171484290397e+03
1.396476091933404007e+01 2.961085272582149173e+03
1.410546639703240501e+01 3.532407002805654429e+03
1.424617187473077351e+01 2.748458910980934888e+03
1.438687735242913668e+01 3.363696374804729203e+03
1.452758283012750518e+01 2.363004279079535536e+03
1.466828830782586834e+01 2.302774526493978556e+03
1.480899378552423684e+01 2.983173343849244702e+03
1.494969926322260179e+01 2.419621373472943560e+03
1.509040474092096851e+01 3.292642695211246519e+03
1.523111021861933345e+01 1.353301060165594208e+03
1.537181569631770017e+01 1.872657561130843305e+03
1.551252117401606867e+01 2.804945944960642464e+03
1.565322665171443361e+01 2.051458896223034117e+03
1.579393212941280034e+01 3.056031576128213146e+03
1.593463760711116528e+01 2.563999232979066619e+03
1.607534308480953200e+01 2.752869153056692994e+03
1.621604856250789695e+01 2.471167621066626452e+03
1.635675404020626544e+01 2.547979714491663344e+03
1.649745951790463039e+01 2.006865165688728894e+03
1.663816499560299533e+01 1.280288009009410416e+03
1.677887047330136028e+01 9.651306755748562409e+02
1.691957595099972878e+01 2.153085121646005518e+03
1.706028142869809372e+01 2.284836956468468088e+03
1.720098690639645866e+01 2.147519354627906068e+03
1.734169238409482361e+01 2.984282248290412554e+03
1.748239786179319211e+01 4.043584839834811646e+02
1.762310333949155705e+01 2.138306631615277183e+03
1.776380881718992555e+01 1.302372184066330647e+03
1.790451429488829049e+01 1.659695634482575315e+03
1.804521977258665544e+01 3.149592266562863642e+03
1.818592525028502394e+01 2.074556755093828087e+03
1.832663072798338888e+01 1.017871992765161622e+03
1.846733620568175738e+01 9.758790528006095428e+02
1.860804168338011877e+01 2.155019026721653063e+03
1.874874716107848727e+01 9.457379816474559675e+02
1.888945263877685221e+01 5.618413317961906159e+02
1.903015811647522071e+01 3.116468724697891048e+03
1.917086359417358565e+01 5.263943355373884359e+00
1.931156907187195060e+01 7.492379941505096212e+02
1.945227454957031554e+01 3.262667456784980914e+03
1.959298002726868404e+01 1.974965549899397104e+02
1.973368550496704898e+01 1.198928059314485345e-10
1.987439098266541748e+01 1.544055429644695653e-17
2.001509646036378243e+01 1.520665956244308947e-01
2.015580193806214737e+01 3.158643458525888491e+03
2.029650741576051587e+01 3.526157995916870277e+03
2.043721289345888081e+01 5.693997270520558332e-03
2.057791837115724576e+01 1.044639382441108724e-22
2.071862384885561070e+01 6.258768088733818671e-57
2.085932932655397920e+01 9.206789478462318630e-106
2.100003480425234414e+01 3.033288692515336311e-169
2.114074028195071264e+01 2.146595010814050682e-247
2.128144575964907403e+01 0.000000000000000000e+00
2.142215123734744253e+01 0.000000000000000000e+00
2.156285671504580748e+01 0.000000000000000000e+00
2.170356219274417597e+01 0.000000000000000000e+00
2.184426767044254092e+01 4.682662151428591220e-263
2.198497314814090586e+01 3.391224145647629103e-182
2.212567862583927436e+01 5.212193512446267274e-116
2.226638410353763931e+01 1.757490305905852012e-64
2.240708958123600780e+01 1.371960533318691568e-27
