--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-07-06 17:43:09

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
2            Fm-3m           cubic              -4.820459                 2      157      D1:100.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      159      D1:100.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      160      D1:100.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      19       D1:10.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      50       D1:17.783, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      51       D1:17.783, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      89       D1:31.623, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      90       D1:31.623, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      121      D1:56.234, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      158      D1:100.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      161      D1:100.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      54       D1:17.783, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      86       D1:31.623, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      155      D1:100.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      15       D1:10.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      16       D1:10.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      20       D1:10.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      21       D1:10.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      53       D1:17.783, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      56       D1:17.783, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      88       D1:31.623, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      120      D1:56.234, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      122      D1:56.234, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      123      D1:56.234, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      124      D1:56.234, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      126      D1:56.234, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      157      D1:100.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      159      D1:100.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      20       D1:10.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      17       D1:10.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      52       D1:17.783, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      54       D1:17.783, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      55       D1:17.783, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      85       D1:31.623, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      86       D1:31.623, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      87       D1:31.623, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      91       D1:31.623, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      125      D1:56.234, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      155      D1:100.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      156      D1:100.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      160      D1:100.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      18       D1:10.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      39       D1:17.783, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      57       D1:17.783, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      62       D1:17.783, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      168      D1:100.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      58       D1:17.783, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      59       D1:17.783, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      92       D1:31.623, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      128      D1:56.234, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      22       D1:10.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      61       D1:17.783, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      128      D1:56.234, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      132      D1:56.234, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      162      D1:100.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      167      D1:100.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      22       D1:10.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      23       D1:10.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      25       D1:10.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      26       D1:10.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      27       D1:10.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      60       D1:17.783, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      62       D1:17.783, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      96       D1:31.623, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      127      D1:56.234, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      130      D1:56.234, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      132      D1:56.234, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      163      D1:100.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      167      D1:100.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      168      D1:100.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      23       D1:10.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
