--- Genetic Algorithm Summary (Recovered) ---
Date: 2026-01-12 15:44:58
Total structures: 421

All Successful Structures (sorted by energy):
====================================================================================================================================================================================
Num Atoms    Int. Symbol     Crystal System     Energy (eV/atom)     Iter  Gen   Sample   GA Parameters                                                                   
====================================================================================================================================================================================
176          P2_1            monoclinic         -6.031125               2     2     10       D1:4.00, R21:0.25, Cell:(0.07,0.16,0.07), SC:[2, 1, 2]                          
176          P2_1            monoclinic         -6.031119               4     3     8        D1:0.95, R21:-0.24, Cell:(0.01,0.28,-0.16), SC:[2, 1, 2]                        
176          P1              triclinic          -6.030920               3     2     43       D1:6.57, R21:-0.06, Cell:(0.38,0.42,0.07), SC:[2, 1, 2]                         
352          P2_1            monoclinic         -6.030819               1     2     2        D1:4.00, R21:0.00, Cell:(0.13,-0.07,-0.07), SC:[1, 4, 1]                        
176          P2_1            monoclinic         -6.030819               1     3     40       D1:4.00, R21:-1.30, Cell:(-0.07,-0.07,0.23), SC:[1, 1, 2]                       
176          P2_1            monoclinic         -6.030819               1     3     38       D1:4.00, R21:-0.25, Cell:(-0.07,-0.07,0.23), SC:[2, 1, 1]                       
176          P2_1            monoclinic         -6.030819               1     2     33       D1:4.00, R21:-0.25, Cell:(-0.07,-0.07,0.23), SC:[1, 1, 2]                       
176          P2_1            monoclinic         -6.030819               1     3     7        D1:1.29, R21:0.62, Cell:(-0.07,-0.07,-0.07), SC:[1, 1, 2]                       
352          P2_1            monoclinic         -6.030819               1     3     14       D1:4.46, R21:-0.76, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                      
88           P2_1            monoclinic         -6.030819               2     1     80       D1:2.74, R21:-1.21, Cell:(0.37,0.01,0.03), SC:[2, 1, 1]                         
704          P2_1            monoclinic         -6.030819               1     3     20       D1:0.76, R21:1.22, Cell:(-0.07,-0.07,0.08), SC:[2, 2, 2]                        
352          P2_1            monoclinic         -6.030819               1     2     41       D1:4.46, R21:-0.76, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                      
176          P2_1            monoclinic         -6.030819               1     2     23       D1:0.41, R21:-0.25, Cell:(-0.07,-0.07,0.44), SC:[2, 1, 1]                       
352          P2_1            monoclinic         -6.030819               1     2     47       D1:4.00, R21:0.25, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                       
176          P2_1            monoclinic         -6.030819               1     3     41       D1:4.01, R21:0.00, Cell:(0.13,-0.07,-0.07), SC:[1, 1, 2]                        
352          P2_1            monoclinic         -6.030819               1     2     27       D1:7.03, R21:0.25, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                       
352          P2_1            monoclinic         -6.030819               1     3     44       D1:4.00, R21:-1.06, Cell:(0.13,0.01,0.01), SC:[1, 4, 1]                         
176          P2_1            monoclinic         -6.030819               1     3     5        D1:4.00, R21:-0.25, Cell:(-0.07,-0.07,-0.07), SC:[1, 1, 2]                      
176          P2_1            monoclinic         -6.030819               1     2     50       D1:4.00, R21:0.00, Cell:(-0.07,-0.07,-0.07), SC:[1, 1, 2]                       
176          P2_1            monoclinic         -6.030819               1     2     38       D1:8.02, R21:-1.39, Cell:(-0.07,-0.07,-0.07), SC:[1, 1, 2]                      
176          P2_1            monoclinic         -6.030819               1     1     42       D1:8.02, R21:1.17, Cell:(-0.07,0.21,0.47), SC:[1, 1, 2]                         
88           P2_1            monoclinic         -6.030819               1     2     45       D1:4.02, R21:0.91, Cell:(0.07,0.07,0.07), SC:[1, 1, 1]                          
176          P2_1            monoclinic         -6.030819               1     2     1        D1:8.02, R21:1.17, Cell:(-0.07,0.21,0.47), SC:[1, 1, 2]                         
352          P2_1            monoclinic         -6.030819               1     2     49       D1:4.00, R21:0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
176          P2_1            monoclinic         -6.030819               1     3     25       D1:4.00, R21:0.00, Cell:(-0.07,-0.09,-0.07), SC:[1, 1, 2]                       
352          P1              triclinic          -6.030657               1     2     28       D1:4.00, R21:0.25, Cell:(-0.07,-0.07,0.05), SC:[1, 4, 1]                        
352          P1              triclinic          -6.030522               1     1     19       D1:4.00, R21:-0.25, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                      
352          P1              triclinic          -6.030522               1     1     21       D1:4.00, R21:0.25, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                       
352          P1              triclinic          -6.030522               1     1     20       D1:4.00, R21:0.00, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                       
88           Pna2_1          orthorhombic       -6.030352               1     2     42       D1:1.00, R21:0.00, Cell:(0.07,0.38,-0.07), SC:[1, 1, 1]                         
352          Pna2_1          orthorhombic       -6.030352               1     3     24       D1:4.00, R21:0.00, Cell:(0.13,-0.07,-0.07), SC:[1, 4, 1]                        
176          Pna2_1          orthorhombic       -6.030352               1     3     2        D1:3.21, R21:0.00, Cell:(0.13,-0.22,-0.07), SC:[2, 1, 1]                        
176          Pna2_1          orthorhombic       -6.030352               1     3     48       D1:5.22, R21:0.00, Cell:(0.13,-0.07,-0.07), SC:[2, 1, 1]                        
176          Pna2_1          orthorhombic       -6.030352               1     3     50       D1:4.00, R21:0.85, Cell:(0.00,0.04,0.47), SC:[1, 1, 2]                          
352          Pna2_1          orthorhombic       -6.030352               1     3     29       D1:4.00, R21:0.00, Cell:(0.13,-0.07,-0.07), SC:[1, 4, 1]                        
352          P1              triclinic          -6.030304               1     2     12       D1:8.02, R21:1.17, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                       
176          Cc              monoclinic         -6.030263               1     3     33       D1:6.11, R21:-1.39, Cell:(0.13,-0.07,-0.07), SC:[1, 1, 2]                       
88           Cc              monoclinic         -6.030263               2     3     9        D1:7.87, R21:0.81, Cell:(0.00,-0.07,-0.07), SC:[1, 1, 2]                        
176          Cc              monoclinic         -6.030263               1     3     31       D1:4.46, R21:-0.76, Cell:(0.01,0.16,-0.07), SC:[1, 1, 2]                        
88           Cc              monoclinic         -6.030263               4     2     2        D1:4.36, R21:-1.20, Cell:(0.43,0.14,0.11), SC:[2, 1, 1]                         
352          Cc              monoclinic         -6.030263               1     3     45       D1:5.12, R21:0.00, Cell:(0.13,-0.07,-0.11), SC:[1, 4, 1]                        
352          Cc              monoclinic         -6.030263               1     2     5        D1:4.00, R21:0.25, Cell:(0.07,0.11,0.07), SC:[1, 4, 1]                          
352          Cc              monoclinic         -6.030263               1     3     34       D1:4.00, R21:0.00, Cell:(0.13,-0.07,-0.07), SC:[1, 4, 1]                        
88           Cc              monoclinic         -6.030263               1     3     27       D1:4.00, R21:0.62, Cell:(-0.07,0.04,0.47), SC:[1, 1, 1]                         
176          Cc              monoclinic         -6.030263               1     2     7        D1:8.02, R21:0.00, Cell:(0.07,0.07,0.31), SC:[1, 1, 2]                          
88           Cc              monoclinic         -6.030263               1     3     43       D1:4.00, R21:0.00, Cell:(-0.07,-0.26,0.37), SC:[1, 1, 1]                        
352          P1              triclinic          -6.029892               1     2     17       D1:4.00, R21:0.00, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029892               1     1     25       D1:4.00, R21:-0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                         
352          P1              triclinic          -6.029892               1     1     26       D1:4.00, R21:0.00, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029892               1     1     27       D1:4.00, R21:0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029799               1     2     16       D1:7.17, R21:-0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                         
352          P1              triclinic          -6.029719               1     1     18       D1:1.00, R21:0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029719               1     1     17       D1:1.00, R21:0.00, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029719               1     1     16       D1:1.00, R21:-0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                         
352          P1              triclinic          -6.029616               1     2     22       D1:4.00, R21:-0.25, Cell:(0.07,0.07,-0.04), SC:[1, 4, 1]                        
352          P1              triclinic          -6.029565               1     2     4        D1:4.00, R21:-0.25, Cell:(-0.07,-0.15,-0.07), SC:[1, 4, 1]                      
352          P1              triclinic          -6.029552               1     1     7        D1:0.25, R21:-0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                         
352          P1              triclinic          -6.029552               1     1     9        D1:0.25, R21:0.25, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029552               1     1     8        D1:0.25, R21:0.00, Cell:(0.07,0.07,0.07), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029530               1     1     12       D1:1.00, R21:0.25, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                       
352          P1              triclinic          -6.029530               1     1     11       D1:1.00, R21:0.00, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                       
352          P1              triclinic          -6.029530               1     1     10       D1:1.00, R21:-0.25, Cell:(-0.07,-0.07,-0.07), SC:[1, 4, 1]                      
352          P1              triclinic          -6.029530               1     1     23       D1:4.00, R21:0.00, Cell:(0.00,0.00,0.00), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029530               1     1     24       D1:4.00, R21:0.25, Cell:(0.00,0.00,0.00), SC:[1, 4, 1]                          
352          P1              triclinic          -6.029530               1     1     22       D1:4.00, R21:-0.25, Cell:(0.00,0.00,0.00), SC:[1, 4, 1]                         
352          P1              triclinic          -6.029014               1     2     15       D1:4.00, R21:0.00, Cell:(0.07,0.00,0.00), SC:[1, 4, 1]                          
352          P1              triclinic          -6.028899               1     1     5        D1:0.25, R21:0.00, Cell:(0.00,0.00,0.00), SC:[1, 4, 1]                          
