Engine,Run ID,Composition,Initial Space Group,Energy (eV/atom),Overall Status,MD Verdict,RMSD Val,RMSD Verdict,Vol Val,Vol Verdict,RDF Val,RDF Verdict,Sym Verdict,Sym Group,Sym List,Completeness Issues
MACE MP,top_4_iter5_sample56,CsPbI3,Pm,-2.8265,STABLE,STABLE,0.839,PASS,3.9,PASS,0.799,PASS,PASS,Pm,Pm (6),COMPLETE
eSEN,top_4_iter5_sample56,CsPbI3,Pm,-2.8265,STABLE,STABLE,0.871,PASS,7.2,FAIL,0.793,PASS,PASS,P1,P1 (1),COMPLETE
UMA,top_4_iter5_sample56,CsPbI3,Pm,-2.8265,STABLE,STABLE,0.891,PASS,9.4,FAIL,0.76,PASS,PASS,P1,P1 (1),COMPLETE
MACE OMAT,top_3_iter5_sample18,CsPbI3,P2_1/m,-2.8294,UNSTABLE,UNSTABLE,5.136,FAIL,12.9,FAIL,0.539,PASS,PASS,P2_1/m,P2_1/m (11),COMPLETE
MACE MP,top_3_iter5_sample18,CsPbI3,P2_1/m,-2.8294,UNSTABLE,UNSTABLE,4.96,FAIL,6.3,FAIL,0.58,PASS,PASS,P2_1/m,P2_1/m (11),COMPLETE
eSEN,top_3_iter5_sample18,CsPbI3,P2_1/m,-2.8294,UNSTABLE,UNSTABLE,5.236,FAIL,6.4,FAIL,0.565,PASS,FAIL,P1,P1 (1),COMPLETE
UMA,top_3_iter5_sample18,CsPbI3,P2_1/m,-2.8294,UNSTABLE,UNSTABLE,5.188,FAIL,4.8,PASS,0.498,FAIL,FAIL,P1,P1 (1),COMPLETE
MACE OMAT,top_2_iter3_sample94,CsPbI3,Cmcm,-2.831,UNSTABLE,UNSTABLE,1.123,FAIL,22.2,FAIL,0.356,FAIL,FAIL,P2_1/m,P2_1 (4); P2_1/m (11),COMPLETE
MACE MP,top_2_iter3_sample94,CsPbI3,Cmcm,-2.831,STABLE,STABLE,0.404,PASS,16.2,FAIL,0.513,PASS,PASS,Cmcm,Pm (6); P2_1/m (11); Cmcm (63),COMPLETE
eSEN,top_2_iter3_sample94,CsPbI3,Cmcm,-2.831,UNSTABLE,UNSTABLE,0.375,PASS,9.4,FAIL,0.38,FAIL,PASS,Cmcm,P1 (1); Cmcm (63),COMPLETE
UMA,top_2_iter3_sample94,CsPbI3,Cmcm,-2.831,UNSTABLE,UNSTABLE,0.415,PASS,9.2,FAIL,0.342,FAIL,PASS,Cmcm,P1 (1); Cmcm (63),COMPLETE
MACE OMAT,top_1_iter5_sample1,CsPbI3,Pnma,-2.8403,UNSTABLE,UNSTABLE,0.387,PASS,30.0,FAIL,0.368,FAIL,PASS,Pnma,Pnma (62),COMPLETE
MACE MP,top_1_iter5_sample1,CsPbI3,Pnma,-2.8403,UNSTABLE,UNSTABLE,0.507,PASS,16.1,FAIL,0.46,FAIL,PASS,Pnma,Pnma (62),COMPLETE
eSEN,top_1_iter5_sample1,CsPbI3,Pnma,-2.8403,STABLE,STABLE,0.382,PASS,8.3,FAIL,0.501,PASS,PASS,Pnma,P1 (1); Pnma (62),COMPLETE
UMA,top_1_iter5_sample1,CsPbI3,Pnma,-2.8403,UNSTABLE,UNSTABLE,0.492,PASS,14.8,FAIL,0.476,FAIL,FAIL,Pc,P1 (1); Pc (7),COMPLETE
MACE OMAT,md_cifs_vibroml3_mace_hfo2_fm3m_m10p117371,HfO2,Fm-3m,-10.117371,UNSTABLE,UNSTABLE,0.453,PASS,3.1,PASS,0.189,FAIL,FAIL,Pca2_1,P1 (1); Pca2_1 (29),COMPLETE
MACE MP,md_cifs_vibroml3_mace_hfo2_fm3m_m10p117371,HfO2,Fm-3m,-10.117371,UNSTABLE,UNSTABLE,0.919,PASS,13.9,FAIL,0.155,FAIL,FAIL,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
eSEN,md_cifs_vibroml3_esen_hfo2_fm3m_m10p117371,HfO2,Fm-3m,-10.117371,UNSTABLE,UNSTABLE,0.506,PASS,2.0,PASS,0.154,FAIL,FAIL,Pca2_1,P1 (1); Pca2_1 (29),COMPLETE
UMA,md_cifs_vibroml3_uma_hfo2_fm3m_m10p117371,HfO2,Fm-3m,-10.117371,UNSTABLE,UNSTABLE,0.576,PASS,4.2,PASS,0.317,FAIL,FAIL,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
MACE OMAT,unique_6_iter4_sample68,HfO2,Pmn2_1,-10.1288,UNSTABLE,UNSTABLE,0.519,PASS,9.2,FAIL,0.387,FAIL,FAIL,P2_1/c,P-1 (2); P2_1/c (14),COMPLETE
MACE MP,unique_6_iter4_sample68,HfO2,Pmn2_1,-10.1288,UNSTABLE,UNSTABLE,0.845,PASS,22.0,FAIL,0.415,FAIL,FAIL,P4_2/mnm,P1 (1); P4_2/mnm (136),COMPLETE
eSEN,unique_6_iter4_sample68,HfO2,Pmn2_1,-10.1288,UNSTABLE,UNSTABLE,0.393,PASS,4.1,PASS,0.139,FAIL,FAIL,Pca2_1,P1 (1); Pca2_1 (29),COMPLETE
UMA,unique_6_iter4_sample68,HfO2,Pmn2_1,-10.1288,STABLE,STABLE,0.39,PASS,2.9,PASS,0.564,PASS,FAIL,P2_1/m,P1 (1); P2_1/m (11),COMPLETE
MACE OMAT,trad,HfO2,P4_2/nmc,-10.1296,UNSTABLE,UNSTABLE,0.53,PASS,8.4,FAIL,0.564,PASS,FAIL,P2_1/c,P1 (1); P2_1 (4); P2_1/c (14),COMPLETE
MACE MP,trad,HfO2,P4_2/nmc,-10.1296,UNSTABLE,UNSTABLE,0.464,PASS,5.3,PASS,0.321,FAIL,FAIL,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
eSEN,trad,HfO2,P4_2/nmc,-10.1296,UNSTABLE,UNSTABLE,0.429,PASS,2.5,PASS,-0.046,FAIL,FAIL,Pca2_1,P1 (1); Pca2_1 (29),COMPLETE
UMA,trad,HfO2,P4_2/nmc,-10.1296,UNSTABLE,UNSTABLE,0.431,PASS,2.1,PASS,-0.046,FAIL,FAIL,Pca2_1,P1 (1); Pca2_1 (29),COMPLETE
MACE OMAT,unique_4_iter5_sample97,HfO2,Fdd2,-10.1329,STABLE,STABLE,0.098,PASS,1.0,PASS,0.777,PASS,PASS,Fdd2,P1 (1); Fdd2 (43),COMPLETE
MACE MP,unique_4_iter5_sample97,HfO2,Fdd2,-10.1329,UNSTABLE,UNSTABLE,6.325,FAIL,17.6,FAIL,0.496,FAIL,FAIL,P1,P1 (1),COMPLETE
eSEN,unique_4_iter5_sample97,HfO2,Fdd2,-10.1329,UNSTABLE,UNSTABLE,12.981,FAIL,16.4,FAIL,0.651,PASS,FAIL,P1,P1 (1),COMPLETE
UMA,unique_4_iter5_sample97,HfO2,Fdd2,-10.1329,STABLE,STABLE,0.097,PASS,1.1,PASS,0.804,PASS,PASS,Fdd2,P1 (1); Fdd2 (43),COMPLETE
MACE OMAT,unique_3_iter1_sample28,HfO2,P2_1/m,-10.1359,UNSTABLE,UNSTABLE,1.756,FAIL,9.0,FAIL,0.518,PASS,PASS,P2_1/m,P2_1/m (11),COMPLETE
MACE MP,unique_3_iter1_sample28,HfO2,P2_1/m,-10.1359,UNSTABLE,UNSTABLE,3.065,FAIL,22.2,FAIL,0.396,FAIL,PASS,Pnma,P2_1/m (11); Pnma (62),COMPLETE
eSEN,unique_3_iter1_sample28,HfO2,P2_1/m,-10.1359,STABLE,STABLE,1.75,FAIL,5.1,PASS,0.601,PASS,PASS,P2_1/m,P1 (1); P-1 (2); P2_1/m (11),COMPLETE
UMA,unique_3_iter1_sample28,HfO2,P2_1/m,-10.1359,UNSTABLE,UNSTABLE,1.744,FAIL,6.3,FAIL,0.544,PASS,PASS,P2_1/m,P1 (1); P-1 (2); P2_1/m (11),COMPLETE
MACE OMAT,unique_2_iter1_sample37,HfO2,Pnma,-10.1391,STABLE,STABLE,0.101,PASS,9.9,FAIL,0.772,PASS,PASS,Pnma,Pnma (62),COMPLETE
MACE MP,unique_2_iter1_sample37,HfO2,Pnma,-10.1391,STABLE,STABLE,0.133,PASS,11.4,FAIL,0.787,PASS,PASS,Pnma,P2_1/m (11); Pnma (62),COMPLETE
eSEN,unique_2_iter1_sample37,HfO2,Pnma,-10.1391,STABLE,STABLE,0.138,PASS,3.1,PASS,0.791,PASS,PASS,Pnma,P1 (1); P-1 (2); Pnma (62),COMPLETE
UMA,unique_2_iter1_sample37,HfO2,Pnma,-10.1391,STABLE,STABLE,0.147,PASS,5.1,PASS,0.808,PASS,PASS,Pnma,P1 (1); Pnma (62),COMPLETE
MACE OMAT,unique_1_iter2_sample63,HfO2,P2_1/c,-10.1438,STABLE,STABLE,1.216,FAIL,4.0,PASS,0.511,PASS,PASS,P2_1/c,P-1 (2); P2_1/c (14),COMPLETE
MACE MP,unique_1_iter2_sample63,HfO2,P2_1/c,-10.1438,UNSTABLE,UNSTABLE,1.491,FAIL,3.2,PASS,0.644,PASS,FAIL,Pbca,P-1 (2); Pbca (61),COMPLETE
eSEN,unique_1_iter2_sample63,HfO2,P2_1/c,-10.1438,UNSTABLE,UNSTABLE,1.275,FAIL,6.3,FAIL,0.517,PASS,PASS,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
UMA,unique_1_iter2_sample63,HfO2,P2_1/c,-10.1438,STABLE,STABLE,1.262,FAIL,2.9,PASS,0.528,PASS,PASS,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
MACE OMAT,top_5_iter3_sample6,HfO2,Pca2_1,-10.1458,UNSTABLE,UNSTABLE,0.427,PASS,11.7,FAIL,-0.039,FAIL,FAIL,Pbcn,Pbcn (60),COMPLETE
MACE MP,top_5_iter3_sample6,HfO2,Pca2_1,-10.1458,UNSTABLE,UNSTABLE,0.35,PASS,14.2,FAIL,0.333,FAIL,PASS,Pbcn,Pc (7); Pca2_1 (29); Pbcn (60),COMPLETE
eSEN,top_5_iter3_sample6,HfO2,Pca2_1,-10.1458,STABLE,STABLE,0.107,PASS,2.6,PASS,0.741,PASS,PASS,Pca2_1,P1 (1); Pca2_1 (29),COMPLETE
UMA,top_5_iter3_sample6,HfO2,Pca2_1,-10.1458,UNSTABLE,UNSTABLE,0.455,PASS,4.5,PASS,0.024,FAIL,FAIL,Pbcn,P1 (1); P2_1/c (14); Pbcn (60),COMPLETE
MACE OMAT,top_4_iter3_sample76,HfO2,P4_2/mnm,-10.1485,STABLE,STABLE,0.151,PASS,4.9,PASS,0.768,PASS,PASS,P4_2/mnm,P1 (1); P4_2/m (84); P4_2/mnm (136),COMPLETE
MACE MP,top_4_iter3_sample76,HfO2,P4_2/mnm,-10.1485,STABLE,STABLE,0.194,PASS,9.4,FAIL,0.771,PASS,PASS,P4_2/mnm,P1 (1); Pmma (51); P4_2/mnm (136),COMPLETE
eSEN,top_4_iter3_sample76,HfO2,P4_2/mnm,-10.1485,STABLE,STABLE,0.125,PASS,1.4,PASS,0.679,PASS,PASS,P4_2/mnm,P1 (1); P4_2/mnm (136),COMPLETE
UMA,top_4_iter3_sample76,HfO2,P4_2/mnm,-10.1485,STABLE,STABLE,0.125,PASS,1.9,PASS,0.684,PASS,PASS,P4_2/mnm,P1 (1); P4_2/m (84); P4_2/mnm (136),COMPLETE
MACE OMAT,top_3_iter3_sample36,HfO2,Pbcn,-10.1559,UNSTABLE,UNSTABLE,1.051,FAIL,17.6,FAIL,0.606,PASS,FAIL,P2_1/c,P2_1/c (14),COMPLETE
MACE MP,top_3_iter3_sample36,HfO2,Pbcn,-10.1559,UNSTABLE,UNSTABLE,0.488,PASS,13.5,FAIL,0.373,FAIL,FAIL,P2_1/c,P-1 (2); P2_1/c (14),COMPLETE
eSEN,top_3_iter3_sample36,HfO2,Pbcn,-10.1559,UNSTABLE,UNSTABLE,0.403,PASS,4.0,PASS,0.429,FAIL,FAIL,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
UMA,top_3_iter3_sample36,HfO2,Pbcn,-10.1559,STABLE,STABLE,0.099,PASS,6.0,PASS,0.765,PASS,PASS,Pbcn,P1 (1); Pbcn (60),COMPLETE
MACE OMAT,top_2_iter1_sample43,HfO2,I4_1/amd,-10.1601,UNSTABLE,UNSTABLE,5.877,FAIL,9.1,FAIL,0.414,FAIL,FAIL,P-1,P-1 (2),COMPLETE
MACE MP,top_2_iter1_sample43,HfO2,I4_1/amd,-10.1601,UNSTABLE,UNSTABLE,7.621,FAIL,22.6,FAIL,0.837,PASS,FAIL,C2/m,P1 (1); P-1 (2); C2/m (12),COMPLETE
eSEN,top_2_iter1_sample43,HfO2,I4_1/amd,-10.1601,UNSTABLE,UNSTABLE,6.331,FAIL,45.8,FAIL,0.305,FAIL,FAIL,P1,P1 (1),COMPLETE
UMA,top_2_iter1_sample43,HfO2,I4_1/amd,-10.1601,UNSTABLE,UNSTABLE,7.544,FAIL,78.8,FAIL,0.719,PASS,FAIL,P1,P1 (1),COMPLETE
MACE OMAT,top_1_iter3_sample26,HfO2,P2_1/c,-10.1659,STABLE,STABLE,1.163,FAIL,2.4,PASS,0.642,PASS,PASS,P2_1/c,P-1 (2); P2_1/c (14),COMPLETE
MACE MP,top_1_iter3_sample26,HfO2,P2_1/c,-10.1659,UNSTABLE,UNSTABLE,1.208,FAIL,3.5,PASS,0.435,FAIL,FAIL,Pbcn,P-1 (2); Pbcn (60),COMPLETE
eSEN,top_1_iter3_sample26,HfO2,P2_1/c,-10.1659,STABLE,STABLE,1.156,FAIL,2.1,PASS,0.721,PASS,PASS,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
UMA,top_1_iter3_sample26,HfO2,P2_1/c,-10.1659,STABLE,STABLE,1.157,FAIL,1.6,PASS,0.722,PASS,PASS,P2_1/c,P1 (1); P2_1/c (14),COMPLETE
MACE OMAT,unique_11_sg_p2,Bi2Sn2O7,P2_12_12_1,-5.997022,STABLE,STABLE,0.359,PASS,5.1,PASS,0.675,PASS,PASS,Imma,P2_12_12_1 (19); Imma (74),COMPLETE
MACE MP,unique_11_sg_p2,Bi2Sn2O7,P2_12_12_1,-5.997022,STABLE,STABLE,0.324,PASS,4.9,PASS,0.71,PASS,PASS,Imma,P2_12_12_1 (19); Imma (74),COMPLETE
