Engine,Run ID,Composition,Initial Space Group,Energy (eV/atom),Overall Status,MD Verdict,RMSD Val,RMSD Verdict,Vol Val,Vol Verdict,RDF Val,RDF Verdict,Sym Verdict,Sym Group,Sym List,Completeness Issues
MACE MP,unique_2_sg_p2,Bi2Sn2O7,P2_1,-6.030819,STABLE,STABLE,0.352,PASS,3.1,PASS,0.765,PASS,PASS,Fd-3m,P2_1 (4); I-42d (122); Fd-3m (227),COMPLETE
eSEN,unique_2_sg_p2,Bi2Sn2O7,P2_1,-6.030819,STABLE,STABLE,0.303,PASS,1.9,PASS,0.739,PASS,FAIL,Fd-3m,P1 (1); Pc (7); Fd-3m (227),COMPLETE
UMA,unique_2_sg_p2,Bi2Sn2O7,P2_1,-6.030819,STABLE,STABLE,0.338,PASS,2.2,PASS,0.747,PASS,FAIL,Fd-3m,P1 (1); Pc (7); Aea2 (41); Fd-3m (227),COMPLETE
MACE OMAT,opt_random_top_1,Bi2Sn2O7,P2_12_12_1,-6.0314,STABLE,STABLE,0.25,PASS,0.8,PASS,0.729,PASS,FAIL,Fd-3m,P1 (1); Fd-3m (227),COMPLETE
MACE MP,opt_random_top_1,Bi2Sn2O7,P2_12_12_1,-6.0314,STABLE,STABLE,0.211,PASS,5.1,PASS,0.684,PASS,PASS,Fd-3m,P2_12_12_1 (19); I-42d (122); Fd-3m (227),COMPLETE
eSEN,opt_random_top_1,Bi2Sn2O7,P2_12_12_1,-6.0314,STABLE,STABLE,0.304,PASS,1.8,PASS,0.713,PASS,FAIL,Fd-3m,P1 (1); Aea2 (41); Cmce (64); Fd-3m (227),COMPLETE
UMA,opt_random_top_1,Bi2Sn2O7,P2_12_12_1,-6.0314,STABLE,STABLE,0.25,PASS,2.4,PASS,0.721,PASS,FAIL,Fd-3m,P1 (1); Cc (9); Aea2 (41); Fd-3m (227),COMPLETE
MACE OMAT,unique_1_sg_cc,Bi2Sn2O7,Cc,-6.03173,UNSTABLE,UNSTABLE,6.107,FAIL,2.9,PASS,0.658,PASS,FAIL,P1,P1 (1),COMPLETE
MACE MP,unique_1_sg_cc,Bi2Sn2O7,Cc,-6.03173,UNSTABLE,UNSTABLE,5.99,FAIL,5.5,PASS,0.701,PASS,FAIL,P1,P1 (1),COMPLETE
eSEN,unique_1_sg_cc,Bi2Sn2O7,Cc,-6.03173,UNSTABLE,UNSTABLE,6.01,FAIL,4.8,PASS,0.61,PASS,FAIL,P1,P1 (1),COMPLETE
UMA,unique_1_sg_cc,Bi2Sn2O7,Cc,-6.03173,UNSTABLE,UNSTABLE,6.069,FAIL,7.1,FAIL,0.619,PASS,FAIL,P1,P1 (1),COMPLETE
MACE MP,optrandom_top_2,,Cm,-16.2582,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,missing_md_dir; no_logs_found
