--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2026-01-08 16:41:12

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
24           Pbcn            orthorhombic       -10.155919                5      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                2      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                2      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           P4_2/nmc        tetragonal         -10.129632                2      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
12           P4_2/nmc        tetragonal         -10.129632                1      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           P4_2/nmc        tetragonal         -10.129632                2      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
12           P4_2/nmc        tetragonal         -10.129632                1      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
12           P4_2/nmc        tetragonal         -10.129632                1      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           P4_2/nmc        tetragonal         -10.129632                2      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
24           P4_2/nmc        tetragonal         -10.129632                2      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
12           P4_2/nmc        tetragonal         -10.129632                1      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
