--- Relaxation Summary for Main Iteration 1, GA Generation 1 ---
Analysis Date: 2025-08-26 16:21:54

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
12           P4_2/nmc        tetragonal         -10.129632                1          1        19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          1        27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
24           Fm-3m           cubic              -10.117371                1          1        28       D1:6.057, R21:-0.214, Cell:(-0.362, 0.228, 0.291, 8.152, 10.968, -12.726), SC:1x1x2, PhFactor:False
96           P-1             triclinic          -10.069750                1          1        43       D1:5.663, R21:-1.251, Cell:(0.438, 0.459, 0.378, -4.996, 30.427, 8.503), SC:2x2x2, PhFactor:True
24           P-1             triclinic          -9.936983                 1          1        63       D1:9.845, R21:0.690, Cell:(0.154, 0.331, 0.391, -22.514, -24.621, 15.177), SC:1x1x2, PhFactor:True
