ID    Space Group     Atoms    Energy (eV/atom)     Prim. Atoms     Filename
89    P1              176      -5.823461            88              unique_89_sg_P1_energy_m5p823461
90    P1              88       -5.822018            44              unique_90_sg_P1_energy_m5p822018
91    P1              44       -5.820828            44              unique_91_sg_P1_energy_m5p820828
92    P1              176      -5.819730            44              unique_92_sg_P1_energy_m5p819730
93    P1              352      -5.819018            88              unique_93_sg_P1_energy_m5p819018
94    P1              176      -5.815843            176             unique_94_sg_P1_energy_m5p815843
95    P1              176      -5.815319            176             unique_95_sg_P1_energy_m5p815319
96    P1              88       -5.805391            44              unique_96_sg_P1_energy_m5p805391
97    P1              176      -5.803474            176             unique_97_sg_P1_energy_m5p803474
98    P1              352      -5.802872            44              unique_98_sg_P1_energy_m5p802872
99    P1              88       -5.801965            44              unique_99_sg_P1_energy_m5p801965
100   P1              88       -5.800644            44              unique_100_sg_P1_energy_m5p800644
101   P1              176      -5.799324            88              unique_101_sg_P1_energy_m5p799324
102   P1              44       -5.798038            44              unique_102_sg_P1_energy_m5p798038
103   P1              176      -5.796633            44              unique_103_sg_P1_energy_m5p796633
104   P1              88       -5.795764            88              unique_104_sg_P1_energy_m5p795764
105   P1              176      -5.794428            88              unique_105_sg_P1_energy_m5p794428
106   P1              88       -5.790382            88              unique_106_sg_P1_energy_m5p790382
107   P1              88       -5.788881            44              unique_107_sg_P1_energy_m5p788881
108   P1              44       -5.787523            44              unique_108_sg_P1_energy_m5p787523
109   P1              176      -5.784691            88              unique_109_sg_P1_energy_m5p784691
110   P1              88       -5.783491            44              unique_110_sg_P1_energy_m5p783491
111   P1              176      -5.780778            44              unique_111_sg_P1_energy_m5p780778
112   P1              88       -5.778561            44              unique_112_sg_P1_energy_m5p778561
113   P1              176      -5.776634            44              unique_113_sg_P1_energy_m5p776634
114   P1              88       -5.774757            88              unique_114_sg_P1_energy_m5p774757
115   P1              176      -5.771498            44              unique_115_sg_P1_energy_m5p771498
116   P1              176      -5.770351            88              unique_116_sg_P1_energy_m5p770351
117   P1              176      -5.764928            176             unique_117_sg_P1_energy_m5p764928
118   P1              176      -5.763180            88              unique_118_sg_P1_energy_m5p763180
119   P1              44       -5.761412            44              unique_119_sg_P1_energy_m5p761412
120   P1              176      -5.757772            44              unique_120_sg_P1_energy_m5p757772
121   P1              88       -5.757016            88              unique_121_sg_P1_energy_m5p757016
122   P1              176      -5.756364            88              unique_122_sg_P1_energy_m5p756364
123   P1              176      -5.753085            44              unique_123_sg_P1_energy_m5p753085
124   P1              88       -5.748919            88              unique_124_sg_P1_energy_m5p748919
125   P1              176      -5.745272            44              unique_125_sg_P1_energy_m5p745272
126   P1              88       -5.743974            88              unique_126_sg_P1_energy_m5p743974
127   P1              176      -5.737530            176             unique_127_sg_P1_energy_m5p737530
128   P1              88       -5.732642            88              unique_128_sg_P1_energy_m5p732642
129   P1              88       -5.730091            44              unique_129_sg_P1_energy_m5p730091
130   P1              44       -5.728846            44              unique_130_sg_P1_energy_m5p728846
131   P1              88       -5.726832            44              unique_131_sg_P1_energy_m5p726832
132   P1              44       -5.712805            44              unique_132_sg_P1_energy_m5p712805
133   P1              88       -5.711902            44              unique_133_sg_P1_energy_m5p711902
134   P1              44       -5.710427            44              unique_134_sg_P1_energy_m5p710427
135   P1              88       -5.709667            88              unique_135_sg_P1_energy_m5p709667
136   P1              88       -5.708893            44              unique_136_sg_P1_energy_m5p708893
137   P1              88       -5.702711            88              unique_137_sg_P1_energy_m5p702711
138   P1              88       -5.700470            88              unique_138_sg_P1_energy_m5p700470
139   P1              352      -5.699465            44              unique_139_sg_P1_energy_m5p699465
140   P1              176      -5.695855            176             unique_140_sg_P1_energy_m5p695855
141   P1              176      -5.695063            44              unique_141_sg_P1_energy_m5p695063
142   P2_1            176      -5.691729            44              unique_142_sg_P2_1_energy_m5p691729
143   P1              352      -5.673577            88              unique_143_sg_P1_energy_m5p673577
144   P1              176      -5.666195            88              unique_144_sg_P1_energy_m5p666195
145   P1              352      -5.665411            352             unique_145_sg_P1_energy_m5p665411
146   P1              176      -5.663059            88              unique_146_sg_P1_energy_m5p663059
147   P1              88       -5.660453            44              unique_147_sg_P1_energy_m5p660453
148   P1              44       -5.647191            44              unique_148_sg_P1_energy_m5p647191
149   P1              176      -5.646432            176             unique_149_sg_P1_energy_m5p646432
150   P1              88       -5.609349            88              unique_150_sg_P1_energy_m5p609349
151   P1              176      -5.608558            88              unique_151_sg_P1_energy_m5p608558
152   P1              176      -5.606434            176             unique_152_sg_P1_energy_m5p606434
153   P1              176      -5.595725            176             unique_153_sg_P1_energy_m5p595725
154   P1              88       -5.567574            88              unique_154_sg_P1_energy_m5p567574
155   P1              44       -5.542084            44              unique_155_sg_P1_energy_m5p542084
156   P1              88       -5.539935            88              unique_156_sg_P1_energy_m5p539935
157   P1              88       -5.509500            88              unique_157_sg_P1_energy_m5p509500
158   P1              88       -5.508393            88              unique_158_sg_P1_energy_m5p508393
159   P1              44       -5.470195            44              unique_159_sg_P1_energy_m5p470195
160   P1              88       -5.444590            88              unique_160_sg_P1_energy_m5p444590
161   P1              352      -5.430278            352             unique_161_sg_P1_energy_m5p430278
162   P1              176      -5.424835            44              unique_162_sg_P1_energy_m5p424835
