--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-26 17:55:57

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
24           P2_1/c          monoclinic         -10.165868                4          3        39       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -7.344, 0.000), SC:1x1x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                4          3        1        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -7.344, 0.000), SC:1x1x2, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                4          3        49       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.437, 41.711, -7.344, 0.000), SC:2x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        19       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        1        D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        2        D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        21       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        49       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          3        40       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, -0.342, 0.000, -7.344, 0.000), SC:1x1x2, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                5          2        41       D1:4.000, R21:0.000, Cell:(0.000, -0.029, 0.078, 0.000, -4.963, 0.000), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                1          3        33       D1:4.000, R21:0.054, Cell:(0.322, -0.076, -0.186, -16.974, 7.214, 14.744), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          2        33       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.224, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                1          3        32       D1:6.368, R21:-0.436, Cell:(-0.070, -0.070, 0.298, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                4          3        16       D1:0.440, R21:-0.250, Cell:(-0.224, 0.082, -0.303, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        50       D1:4.801, R21:0.250, Cell:(0.000, 0.000, 0.000, -22.186, 8.494, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        10       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, -0.382, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        32       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, -0.237, 4.335, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        43       D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 25.683, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        44       D1:0.250, R21:0.000, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                3          3        2        D1:4.000, R21:0.621, Cell:(0.000, 0.070, -0.013, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        12       D1:0.250, R21:0.250, Cell:(-0.049, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        47       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.088, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
