--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2026-01-20 00:06:09

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
