# Frequency(THz)  DOS_Intensity
-2.890811563548813634e+00 1.085701009518695234e-02
-2.749688925859614663e+00 3.262601544045443092e+01
-2.608566288170415692e+00 1.280964795653931674e+02
-2.467443650481216277e+00 2.988622895254338232e+02
-2.326321012792017306e+00 4.746982463864422925e+02
-2.185198375102818336e+00 8.069532537852778660e+02
-2.044075737413618921e+00 9.321303914126855261e+02
-1.902953099724420172e+00 1.002403555097708477e+03
-1.761830462035220757e+00 1.226949718950709894e+03
-1.620707824346021786e+00 1.375179728784785993e+03
-1.479585186656822815e+00 1.490473851307469886e+03
-1.338462548967623622e+00 1.541726336780123120e+03
-1.197339911278424429e+00 1.503051617965672904e+03
-1.056217273589225236e+00 1.475012838262627156e+03
-9.150946359000262653e-01 1.388094311937991051e+03
-7.739719982108271834e-01 1.266998493617870508e+03
-6.328493605216281015e-01 1.092333036659529625e+03
-4.917267228324290196e-01 8.626064805716041519e+02
-3.506040851432299377e-01 6.517778370112998800e+02
-2.094814474540308558e-01 3.964357679595524928e+02
-6.835880976483177385e-02 1.336114453490303049e+02
7.276382792436729419e-02 1.396133554410529314e+02
2.138864656135663622e-01 4.125980187752603001e+02
3.550091033027654164e-01 6.901063457981468900e+02
4.961317409919649424e-01 1.012026201819277617e+03
6.372543786811639688e-01 1.376338829765587207e+03
7.783770163703630507e-01 1.740112877199585910e+03
9.194996540595616885e-01 2.294722914271735135e+03
1.060622291748761326e+00 2.899588408776042797e+03
1.201744929437959852e+00 3.449230456395634974e+03
1.342867567127159267e+00 3.996428508752084326e+03
1.483990204816358016e+00 4.309043306923957061e+03
1.625112842505557431e+00 4.279276796260954143e+03
1.766235480194757068e+00 4.595336988513106917e+03
1.907358117883955595e+00 4.984429848385658261e+03
2.048480755573155232e+00 5.501324786391159250e+03
2.189603393262353759e+00 5.290136322721049510e+03
2.330726030951553174e+00 5.601484344129171404e+03
2.471848668640752145e+00 5.494912139634394407e+03
2.612971306329951560e+00 5.587925946708016454e+03
2.754093944019150086e+00 5.647272366372986653e+03
2.895216581708349501e+00 5.711405499573310408e+03
3.036339219397548028e+00 5.691805241010732971e+03
3.177461857086747887e+00 5.990314616671860676e+03
3.318584494775946414e+00 5.902354221038237483e+03
3.459707132465145829e+00 5.159175283125588066e+03
3.600829770154344356e+00 4.757452419269538041e+03
3.741952407843544215e+00 4.835909691784531788e+03
3.883075045532744074e+00 4.754620619337205426e+03
4.024197683221942157e+00 5.010237576376221114e+03
4.165320320911141572e+00 4.863145849164211540e+03
4.306442958600340098e+00 4.619156187686890917e+03
4.447565596289540402e+00 4.216245446866706516e+03
4.588688233978738928e+00 4.290318479365257190e+03
4.729810871667937455e+00 4.082858208116724199e+03
4.870933509357137758e+00 4.409792080079426341e+03
5.012056147046336285e+00 4.753567299564592759e+03
5.153178784735534812e+00 5.284135283851109307e+03
5.294301422424734227e+00 5.067669802290390180e+03
5.435424060113934530e+00 4.206743141503810875e+03
5.576546697803133057e+00 4.488203020644533353e+03
5.717669335492331584e+00 3.990780185379087015e+03
5.858791973181530111e+00 3.730685925947761007e+03
5.999914610870730414e+00 3.924458820866492715e+03
6.141037248559928940e+00 3.998456206509735239e+03
6.282159886249127467e+00 4.589503163953475450e+03
6.423282523938327770e+00 4.417996655116367037e+03
6.564405161627527185e+00 4.311292576797955917e+03
6.705527799316725712e+00 3.703966582527050832e+03
6.846650437005924239e+00 2.970555811767755131e+03
6.987773074695124542e+00 2.639183296455340951e+03
7.128895712384323069e+00 3.528199944229033918e+03
7.270018350073521596e+00 3.442199095526434576e+03
7.411140987762720123e+00 3.981089163754324090e+03
7.552263625451920426e+00 3.170384904180176363e+03
7.693386263141118953e+00 3.359902526655855127e+03
7.834508900830318368e+00 2.746558289285255341e+03
7.975631538519516894e+00 3.493423303500868769e+03
8.116754176208717197e+00 2.748489669363975281e+03
8.257876813897915724e+00 2.604623825167298037e+03
8.398999451587114251e+00 2.514011872670798311e+03
8.540122089276314554e+00 3.455983555047152095e+03
8.681244726965513081e+00 2.451735058982602823e+03
8.822367364654711608e+00 1.828152743655036147e+03
8.963490002343910135e+00 2.096908087989970682e+03
9.104612640033110438e+00 2.379221576017395364e+03
9.245735277722308965e+00 2.893736746282008426e+03
9.386857915411507491e+00 2.731384130780525538e+03
9.527980553100706018e+00 2.144480493922214464e+03
9.669103190789906321e+00 2.439641657507138916e+03
9.810225828479106625e+00 2.272008108854083730e+03
9.951348466168305151e+00 2.664480289223296495e+03
1.009247110385750368e+01 3.011723484690908663e+03
1.023359374154670398e+01 2.969944078080876352e+03
1.037471637923590251e+01 2.612890031817042654e+03
1.051583901692510103e+01 3.126932565139342387e+03
1.065696165461430134e+01 3.380682522328409505e+03
1.079808429230349986e+01 3.133201942654353388e+03
1.093920692999269839e+01 3.090563872484372041e+03
1.108032956768189692e+01 1.978545609742503530e+03
1.122145220537109722e+01 3.191549172642052326e+03
1.136257484306029575e+01 3.401889653652121069e+03
1.150369748074949428e+01 3.091027339963455233e+03
1.164482011843869280e+01 3.397314014179863079e+03
1.178594275612789311e+01 2.895201444710411124e+03
1.192706539381709163e+01 2.795315011007768135e+03
1.206818803150629016e+01 1.996357729595701812e+03
1.220931066919549046e+01 2.997616893950565554e+03
1.235043330688468899e+01 3.405460743348809046e+03
1.249155594457388752e+01 3.184553689636028139e+03
1.263267858226308960e+01 2.708753198927262929e+03
1.277380121995228812e+01 2.824168207720477767e+03
1.291492385764148665e+01 2.939207499299578103e+03
