# Frequency(THz)  DOS_Intensity
-3.030966848603933173e+00 1.922699262315578916e-02
-2.894274564961851759e+00 2.011290973746503994e+02
-2.757582281319770789e+00 4.139699386392325664e+02
-2.620889997677688932e+00 5.239781236296309999e+02
-2.484197714035607962e+00 6.811405489163307720e+02
-2.347505430393526105e+00 9.727560185854432575e+02
-2.210813146751444691e+00 1.378026745493596991e+03
-2.074120863109363277e+00 1.473988462043423169e+03
-1.937428579467282308e+00 1.737073901493323319e+03
-1.800736295825200672e+00 1.955278232677971801e+03
-1.664044012183119259e+00 2.166757509547807786e+03
-1.527351728541038067e+00 2.249048614920031014e+03
-1.390659444898956432e+00 2.334383986150541205e+03
-1.253967161256875018e+00 2.344091277182128124e+03
-1.117274877614793605e+00 2.304798951393291190e+03
-9.805825939727125240e-01 2.250509887314951357e+03
-8.438903103306308884e-01 2.062461759931742563e+03
-7.071980266885492528e-01 1.849774642320095381e+03
-5.705057430464681723e-01 1.585000794131444309e+03
-4.338134594043865366e-01 1.263762690902031864e+03
-2.971211757623054006e-01 8.999907262712370084e+02
-1.604288921202237927e-01 4.999876399501440574e+02
-2.373660847814261857e-02 9.238405057426334110e+01
1.129556751639389650e-01 3.485098814649326755e+02
2.496479588060205590e-01 7.904685038214799988e+02
3.863402424481017228e-01 1.301684969458326577e+03
5.230325260901833584e-01 1.838081077712381102e+03
6.597248097322644389e-01 2.538673574606219518e+03
7.964170933743460745e-01 3.291858693588118513e+03
9.331093770164275991e-01 4.167287968096395161e+03
1.069801660658508347e+00 4.959178687104161327e+03
1.206493944300589982e+00 5.767652864238652910e+03
1.343186227942671618e+00 6.655999066084439619e+03
1.479878511584753253e+00 7.943696613344582147e+03
1.616570795226834667e+00 8.871133394418593525e+03
1.753263078868915414e+00 9.575287312633729016e+03
1.889955362510997050e+00 9.822074317129921837e+03
2.026647646153078686e+00 1.028497810714357547e+04
2.163339929795160099e+00 1.022693915431547975e+04
2.300032213437241069e+00 1.049405236305267135e+04
2.436724497079322482e+00 1.082373663514777763e+04
2.573416780721404340e+00 1.055178584832821070e+04
2.710109064363485754e+00 1.055385754707245360e+04
2.846801348005567167e+00 1.043683078821483105e+04
2.983493631647648137e+00 1.003203452399487651e+04
3.120185915289729550e+00 9.806620407333228286e+03
3.256878198931811408e+00 1.017030566592511968e+04
3.393570482573892821e+00 1.037357775621921792e+04
3.530262766215974235e+00 9.608119217068990110e+03
3.666955049858055204e+00 9.731083727067134532e+03
3.803647333500136618e+00 9.402584080966144029e+03
3.940339617142218476e+00 9.667408494557359518e+03
4.077031900784300333e+00 8.944035433568544249e+03
4.213724184426380859e+00 9.197221904334068313e+03
4.350416468068462272e+00 9.707212306299377815e+03
4.487108751710543686e+00 9.185962156884190335e+03
4.623801035352625100e+00 9.245178455165676496e+03
4.760493318994706513e+00 9.022787676300116800e+03
4.897185602636788815e+00 8.671805632073755987e+03
5.033877886278869340e+00 9.655425492877831857e+03
5.170570169920949866e+00 8.782844400447336739e+03
5.307262453563032167e+00 8.666627492841287676e+03
5.443954737205113581e+00 9.165058663770903877e+03
5.580647020847195883e+00 9.515725675783138286e+03
5.717339304489276408e+00 9.045474509129560829e+03
5.854031588131356934e+00 9.078192080241859003e+03
5.990723871773439235e+00 8.830044497151091491e+03
6.127416155415520649e+00 8.092009298479123572e+03
6.264108439057602951e+00 9.229400523759280986e+03
6.400800722699683476e+00 8.323124225499088425e+03
6.537493006341764001e+00 7.277352187048680207e+03
6.674185289983847191e+00 7.547369860886176866e+03
6.810877573625927717e+00 7.265784055028212606e+03
6.947569857268010018e+00 7.008888529020518945e+03
7.084262140910090544e+00 7.257512004972238174e+03
7.220954424552171069e+00 7.361623608116484320e+03
7.357646708194254259e+00 7.246729818940266341e+03
7.494338991836334785e+00 8.051372936753939030e+03
7.631031275478416198e+00 8.131191807003770009e+03
7.767723559120498500e+00 7.115957603303445467e+03
7.904415842762577249e+00 6.541068018838351236e+03
8.041108126404660439e+00 6.776678158816634095e+03
8.177800410046742741e+00 6.684188095297849031e+03
8.314492693688821490e+00 6.331669338734373923e+03
8.451184977330903791e+00 6.154775743178478479e+03
8.587877260972986093e+00 5.673892628597694966e+03
8.724569544615068395e+00 5.245958740864957690e+03
8.861261828257147144e+00 5.048573227328260145e+03
8.997954111899231222e+00 5.102063078812038839e+03
9.134646395541313524e+00 5.475103556667758312e+03
9.271338679183392273e+00 6.164897573262965125e+03
9.408030962825474575e+00 6.226887076593466190e+03
9.544723246467556876e+00 5.181820239356450656e+03
9.681415530109635625e+00 5.489819283377367356e+03
9.818107813751717927e+00 5.542714246775468382e+03
9.954800097393800229e+00 5.452946069280971642e+03
1.009149238103588253e+01 5.895290015379065153e+03
1.022818466467796128e+01 5.341220153559857863e+03
1.036487694832004536e+01 6.463293826839715621e+03
1.050156923196212766e+01 6.188512495377784035e+03
1.063826151560420641e+01 5.774910813426106870e+03
1.077495379924628871e+01 4.904007538443526755e+03
1.091164608288837101e+01 4.741402313540276737e+03
1.104833836653044976e+01 5.882661776254137294e+03
1.118503065017253206e+01 6.133822821586913051e+03
1.132172293381461436e+01 6.498491094015435920e+03
1.145841521745669311e+01 6.365633891364669580e+03
1.159510750109877719e+01 6.591102338131088800e+03
1.173179978474085949e+01 6.141222238251300951e+03
1.186849206838294180e+01 6.518917496444749304e+03
1.200518435202502054e+01 7.268318092837699623e+03
1.214187663566710285e+01 6.282736524495958292e+03
1.227856891930918515e+01 5.702536285336816036e+03
1.241526120295126745e+01 5.906227372363156974e+03
1.255195348659334620e+01 6.405138819345056618e+03
1.268864577023542850e+01 5.154890462260467757e+03
1.282533805387751080e+01 5.893230515951543566e+03
1.296203033751959133e+01 5.326164364486024169e+03
1.309872262116167363e+01 5.070056350095293055e+03
1.323541490480375593e+01 5.127659589236848660e+03
1.337210718844583468e+01 5.607743960055899151e+03
1.350879947208791698e+01 5.399561945915284014e+03
1.364549175572999928e+01 5.633308350361375233e+03
1.378218403937208159e+01 5.106600398826809396e+03
1.391887632301416033e+01 5.342210339725558697e+03
1.405556860665624264e+01 5.284667235406876898e+03
1.419226089029832494e+01 5.739301250688617074e+03
1.432895317394040546e+01 5.719589796965636197e+03
1.446564545758248777e+01 5.049328795186805110e+03
1.460233774122457007e+01 4.780500570415648326e+03
1.473903002486664882e+01 5.866645705089921648e+03
1.487572230850873112e+01 3.342398938870246639e+03
1.501241459215081342e+01 4.881680475936575931e+03
1.514910687579289217e+01 4.413241152491401408e+03
1.528579915943497447e+01 4.663793951999100500e+03
1.542249144307705677e+01 4.666588294730499911e+03
1.555918372671913907e+01 4.041193278806284525e+03
1.569587601036121960e+01 5.364805780442574360e+03
1.583256829400330190e+01 5.180706668872404407e+03
1.596926057764538420e+01 4.836387258038339496e+03
1.610595286128746295e+01 5.538545021563192677e+03
1.624264514492954703e+01 4.413817091180766511e+03
1.637933742857162756e+01 5.151053608208905644e+03
1.651602971221370808e+01 5.235348371222436072e+03
1.665272199585578861e+01 5.652787354265401518e+03
1.678941427949787268e+01 5.151597899631192377e+03
1.692610656313995321e+01 4.335643362963473010e+03
1.706279884678203373e+01 6.386770758676544574e+03
1.719949113042411426e+01 4.375844627400771969e+03
1.733618341406619834e+01 3.665575218061194391e+03
1.747287569770827531e+01 4.444287229798486806e+03
1.760956798135035939e+01 5.017601440889556216e+03
1.774626026499244347e+01 6.242125828894651931e+03
1.788295254863452044e+01 1.648461868225490434e+03
1.801964483227660452e+01 2.808358194622308929e+03
1.815633711591868504e+01 5.326368761405633450e+03
1.829302939956076557e+01 4.062924620169279024e+03
1.842972168320284609e+01 2.141480377220849277e+03
1.856641396684493017e+01 1.963596293468841850e+03
1.870310625048701070e+01 2.581105889556898546e+03
1.883979853412909122e+01 3.485548287756010723e+03
1.897649081777117530e+01 8.522814159236702380e+02
1.911318310141325583e+01 1.437204664291494055e+03
1.924987538505533635e+01 3.208859495058222365e+03
1.938656766869741688e+01 1.236573673744733100e+02
1.952325995233950096e+01 2.714225723869888952e+03
1.965995223598157793e+01 2.892444344994910566e+01
1.979664451962366201e+01 2.247891732102672222e+02
1.993333680326574253e+01 1.876187102650081442e+03
2.007002908690782661e+01 2.935892328029201792e+01
2.020672137054990714e+01 9.278907521841314982e-12
2.034341365419198766e+01 3.350681725762018059e-01
2.048010593783407174e+01 1.739963335393377747e+03
2.061679822147614871e+01 1.844347320418372642e-07
2.075349050511823279e+01 3.572562852870273430e-31
2.089018278876031331e+01 1.102609256858515773e-68
2.102687507240239384e+01 5.003473717492040493e-120
2.116356735604447437e+01 3.210811225227085788e-185
2.130025963968655844e+01 2.086851559537643422e-235
2.143695192332863897e+01 4.660787128014307946e-161
2.157364420697071949e+01 1.395802999651366400e-100
2.171033649061280357e+01 5.653570552124642202e-54
2.184702877425488410e+01 3.152445021453819790e-21
2.198372105789696462e+01 2.506755460579826109e-02
2.212041334153904515e+01 3.017003147743414502e+03
2.225710562518112923e+01 5.873840185224668676e-06
2.239379790882320620e+01 1.889462691148533357e-28
2.253049019246529028e+01 9.588402514844342094e-65
2.266718247610737080e+01 7.173240982305658980e-115
2.280387475974945133e+01 5.286669759793124219e-85
2.294056704339153541e+01 1.340183862608890420e-42
2.307725932703361593e+01 4.791774376383414327e-14
2.321395161067570001e+01 2.492762333811912967e+01
2.335064389431777698e+01 1.957778589058031855e+02
2.348733617795986106e+01 2.387676007840949366e-11
2.362402846160194159e+01 1.958824072252488597e-29
2.376072074524402211e+01 8.168355599510823533e-07
2.389741302888610264e+01 1.216982862612845793e+03
2.403410531252818672e+01 2.436039744898938295e+02
2.417079759617026724e+01 2.207509339545174853e+01
